id,ticket_id,user_id,vehicle_id,jo_date,date_arrived,date_promised,started_at,completed_at,released_at,estimated_duration,actual_duration,estimated_grand_total,actual_grand_total,partial_payment,balance,status,quotation_notes,quotation_approved
13,13,207,8,2026-02-24,2026-02-24 23:12:07,2026-02-24 23:12:07,2026-02-25 23:12:07,2026-02-25 23:12:07,2026-02-25 23:12:07,02:00:00,02:00:00,723.75,934.82,0.00,934.82,completed,Generated by seed,True
14,14,207,8,2026-04-01,2026-04-01 06:58:23,2026-04-01 06:58:23,2026-04-02 06:58:23,2026-04-02 06:58:23,2026-04-02 06:58:23,02:00:00,02:00:00,2383.90,2656.86,0.00,2656.86,in_progress,Generated by seed,True
15,15,208,9,2026-01-25,2026-01-25 08:17:19,2026-01-25 08:17:19,2026-01-26 08:17:19,2026-01-26 08:17:19,2026-01-26 08:17:19,02:00:00,02:00:00,1432.95,1527.16,0.00,1527.16,completed,Generated by seed,True
16,16,209,10,2026-01-20,2026-01-20 03:09:32,2026-01-20 03:09:32,2026-01-21 03:09:32,2026-01-21 03:09:32,2026-01-21 03:09:32,02:00:00,02:00:00,2320.83,2516.16,0.00,2516.16,completed,Generated by seed,True
17,17,209,10,2026-03-26,2026-03-26 10:07:55,2026-03-26 10:07:55,2026-03-27 10:07:55,2026-03-27 10:07:55,2026-03-27 10:07:55,02:00:00,02:00:00,2025.46,2157.96,0.00,2157.96,in_progress,Generated by seed,True
18,18,210,11,2026-02-03,2026-02-03 03:16:11,2026-02-03 03:16:11,2026-02-04 03:16:11,2026-02-04 03:16:11,2026-02-04 03:16:11,02:00:00,02:00:00,2020.06,2187.69,0.00,2187.69,completed,Generated by seed,True
19,19,210,11,2026-04-03,2026-04-03 19:14:43,2026-04-03 19:14:43,2026-04-04 19:14:43,2026-04-04 19:14:43,2026-04-04 19:14:43,02:00:00,02:00:00,6880.32,6746.99,0.00,6746.99,in_progress,Generated by seed,True
20,20,211,12,2026-02-16,2026-02-16 15:17:15,2026-02-16 15:17:15,2026-02-17 15:17:15,2026-02-17 15:17:15,2026-02-17 15:17:15,02:00:00,02:00:00,3608.71,3757.80,0.00,3757.80,completed,Generated by seed,True
21,21,211,12,2026-03-01,2026-03-01 19:19:39,2026-03-01 19:19:39,2026-03-02 19:19:39,2026-03-02 19:19:39,2026-03-02 19:19:39,02:00:00,02:00:00,1176.84,1438.33,0.00,1438.33,in_progress,Generated by seed,True
22,22,212,13,2026-02-15,2026-02-15 15:52:03,2026-02-15 15:52:03,2026-02-16 15:52:03,2026-02-16 15:52:03,2026-02-16 15:52:03,02:00:00,02:00:00,873.13,859.01,0.00,859.01,completed,Generated by seed,True
23,23,212,13,2026-02-17,2026-02-17 06:32:36,2026-02-17 06:32:36,2026-02-18 06:32:36,2026-02-18 06:32:36,2026-02-18 06:32:36,02:00:00,02:00:00,2659.61,2603.41,0.00,2603.41,in_progress,Generated by seed,True
24,24,213,14,2026-02-24,2026-02-24 09:50:43,2026-02-24 09:50:43,2026-02-25 09:50:43,2026-02-25 09:50:43,2026-02-25 09:50:43,02:00:00,02:00:00,4574.18,5263.45,0.00,5263.45,completed,Generated by seed,True
25,25,213,14,2026-03-14,2026-03-14 23:12:57,2026-03-14 23:12:57,2026-03-15 23:12:57,2026-03-15 23:12:57,2026-03-15 23:12:57,02:00:00,02:00:00,2704.50,2766.38,0.00,2766.38,in_progress,Generated by seed,True
26,26,214,15,2026-03-02,2026-03-02 12:44:54,2026-03-02 12:44:54,2026-03-03 12:44:54,2026-03-03 12:44:54,2026-03-03 12:44:54,02:00:00,02:00:00,1273.11,1322.67,0.00,1322.67,completed,Generated by seed,True
27,27,214,15,2026-02-21,2026-02-21 09:22:31,2026-02-21 09:22:31,2026-02-22 09:22:31,2026-02-22 09:22:31,2026-02-22 09:22:31,02:00:00,02:00:00,1611.59,1760.98,0.00,1760.98,completed,Generated by seed,True
28,28,215,16,2026-02-09,2026-02-09 04:12:44,2026-02-09 04:12:44,2026-02-10 04:12:44,2026-02-10 04:12:44,2026-02-10 04:12:44,02:00:00,02:00:00,1648.93,1589.65,0.00,1589.65,completed,Generated by seed,True
29,29,215,16,2026-04-05,2026-04-05 23:04:14,2026-04-05 23:04:14,2026-04-06 23:04:14,2026-04-06 23:04:14,2026-04-06 23:04:14,02:00:00,02:00:00,4865.27,4740.31,0.00,4740.31,in_progress,Generated by seed,True
30,30,216,17,2026-01-23,2026-01-23 00:18:11,2026-01-23 00:18:11,2026-01-24 00:18:11,2026-01-24 00:18:11,2026-01-24 00:18:11,02:00:00,02:00:00,780.23,871.93,0.00,871.93,completed,Generated by seed,True
31,31,216,17,2026-03-12,2026-03-12 20:27:06,2026-03-12 20:27:06,2026-03-13 20:27:06,2026-03-13 20:27:06,2026-03-13 20:27:06,02:00:00,02:00:00,5490.16,6121.54,0.00,6121.54,completed,Generated by seed,True
32,32,216,17,2026-03-21,2026-03-21 19:48:32,2026-03-21 19:48:32,2026-03-22 19:48:32,2026-03-22 19:48:32,2026-03-22 19:48:32,02:00:00,02:00:00,4858.84,4209.55,0.00,4209.55,completed,Generated by seed,True
33,33,217,18,2026-02-16,2026-02-16 20:59:31,2026-02-16 20:59:31,2026-02-17 20:59:31,2026-02-17 20:59:31,2026-02-17 20:59:31,02:00:00,02:00:00,5909.89,5590.67,0.00,5590.67,completed,Generated by seed,True
34,34,217,18,2026-03-09,2026-03-09 17:12:28,2026-03-09 17:12:28,2026-03-10 17:12:28,2026-03-10 17:12:28,2026-03-10 17:12:28,02:00:00,02:00:00,795.77,816.11,0.00,816.11,completed,Generated by seed,True
35,35,218,19,2026-02-25,2026-02-25 00:01:28,2026-02-25 00:01:28,2026-02-26 00:01:28,2026-02-26 00:01:28,2026-02-26 00:01:28,02:00:00,02:00:00,2910.47,3059.07,0.00,3059.07,completed,Generated by seed,True
36,36,218,19,2026-02-25,2026-02-25 06:13:39,2026-02-25 06:13:39,2026-02-26 06:13:39,2026-02-26 06:13:39,2026-02-26 06:13:39,02:00:00,02:00:00,1358.17,1428.14,0.00,1428.14,completed,Generated by seed,True
37,37,219,20,2026-01-23,2026-01-23 09:39:23,2026-01-23 09:39:23,2026-01-24 09:39:23,2026-01-24 09:39:23,2026-01-24 09:39:23,02:00:00,02:00:00,1212.70,1134.40,0.00,1134.40,completed,Generated by seed,True
38,38,219,20,2026-02-28,2026-02-28 18:55:25,2026-02-28 18:55:25,2026-03-01 18:55:25,2026-03-01 18:55:25,2026-03-01 18:55:25,02:00:00,02:00:00,773.51,751.54,0.00,751.54,completed,Generated by seed,True
39,39,219,20,2026-04-21,2026-04-21 07:02:00,2026-04-21 07:02:00,2026-04-22 07:02:00,2026-04-22 07:02:00,2026-04-22 07:02:00,02:00:00,02:00:00,2341.88,2453.52,0.00,2453.52,in_progress,Generated by seed,True
40,40,220,21,2026-03-06,2026-03-06 03:43:17,2026-03-06 03:43:17,2026-03-07 03:43:17,2026-03-07 03:43:17,2026-03-07 03:43:17,02:00:00,02:00:00,3355.03,4197.26,0.00,4197.26,completed,Generated by seed,True
41,41,220,21,2026-03-15,2026-03-15 07:16:36,2026-03-15 07:16:36,2026-03-16 07:16:36,2026-03-16 07:16:36,2026-03-16 07:16:36,02:00:00,02:00:00,3194.81,3592.78,0.00,3592.78,completed,Generated by seed,True
42,42,221,22,2026-01-17,2026-01-17 15:24:06,2026-01-17 15:24:06,2026-01-18 15:24:06,2026-01-18 15:24:06,2026-01-18 15:24:06,02:00:00,02:00:00,3402.54,3975.81,0.00,3975.81,in_progress,Generated by seed,True
43,43,222,23,2026-02-24,2026-02-24 04:38:36,2026-02-24 04:38:36,2026-02-25 04:38:36,2026-02-25 04:38:36,2026-02-25 04:38:36,02:00:00,02:00:00,1862.87,2115.96,0.00,2115.96,completed,Generated by seed,True
44,44,222,23,2026-03-16,2026-03-16 01:27:46,2026-03-16 01:27:46,2026-03-17 01:27:46,2026-03-17 01:27:46,2026-03-17 01:27:46,02:00:00,02:00:00,1211.90,1410.17,0.00,1410.17,completed,Generated by seed,True
45,45,222,23,2026-03-25,2026-03-25 01:05:59,2026-03-25 01:05:59,2026-03-26 01:05:59,2026-03-26 01:05:59,2026-03-26 01:05:59,02:00:00,02:00:00,2648.03,2927.34,0.00,2927.34,completed,Generated by seed,True
46,46,223,24,2026-03-06,2026-03-06 03:17:47,2026-03-06 03:17:47,2026-03-07 03:17:47,2026-03-07 03:17:47,2026-03-07 03:17:47,02:00:00,02:00:00,1842.21,1802.88,0.00,1802.88,completed,Generated by seed,True
47,47,223,24,2026-02-23,2026-02-23 10:52:21,2026-02-23 10:52:21,2026-02-24 10:52:21,2026-02-24 10:52:21,2026-02-24 10:52:21,02:00:00,02:00:00,2584.00,2728.87,0.00,2728.87,completed,Generated by seed,True
48,48,223,24,2026-03-26,2026-03-26 08:02:14,2026-03-26 08:02:14,2026-03-27 08:02:14,2026-03-27 08:02:14,2026-03-27 08:02:14,02:00:00,02:00:00,2361.57,2299.54,0.00,2299.54,in_progress,Generated by seed,True
49,49,224,25,2026-02-12,2026-02-12 09:07:11,2026-02-12 09:07:11,2026-02-13 09:07:11,2026-02-13 09:07:11,2026-02-13 09:07:11,02:00:00,02:00:00,1955.95,2279.42,0.00,2279.42,completed,Generated by seed,True
50,50,224,25,2026-03-09,2026-03-09 12:48:28,2026-03-09 12:48:28,2026-03-10 12:48:28,2026-03-10 12:48:28,2026-03-10 12:48:28,02:00:00,02:00:00,6270.39,6410.84,0.00,6410.84,completed,Generated by seed,True
51,51,224,25,2026-04-27,2026-04-27 21:10:28,2026-04-27 21:10:28,2026-04-28 21:10:28,2026-04-28 21:10:28,2026-04-28 21:10:28,02:00:00,02:00:00,1980.94,1958.18,0.00,1958.18,completed,Generated by seed,True
52,52,225,26,2026-03-07,2026-03-07 13:44:37,2026-03-07 13:44:37,2026-03-08 13:44:37,2026-03-08 13:44:37,2026-03-08 13:44:37,02:00:00,02:00:00,3426.96,3725.34,0.00,3725.34,completed,Generated by seed,True
53,53,225,26,2026-03-22,2026-03-22 18:41:56,2026-03-22 18:41:56,2026-03-23 18:41:56,2026-03-23 18:41:56,2026-03-23 18:41:56,02:00:00,02:00:00,3785.02,3663.36,0.00,3663.36,in_progress,Generated by seed,True
54,54,226,27,2026-02-17,2026-02-17 23:25:10,2026-02-17 23:25:10,2026-02-18 23:25:10,2026-02-18 23:25:10,2026-02-18 23:25:10,02:00:00,02:00:00,3538.53,3701.35,0.00,3701.35,completed,Generated by seed,True
55,55,226,27,2026-04-01,2026-04-01 00:28:28,2026-04-01 00:28:28,2026-04-02 00:28:28,2026-04-02 00:28:28,2026-04-02 00:28:28,02:00:00,02:00:00,1356.53,1735.41,0.00,1735.41,in_progress,Generated by seed,True
56,56,227,28,2026-02-15,2026-02-15 21:03:59,2026-02-15 21:03:59,2026-02-16 21:03:59,2026-02-16 21:03:59,2026-02-16 21:03:59,02:00:00,02:00:00,3274.25,4004.15,0.00,4004.15,completed,Generated by seed,True
57,57,228,29,2026-02-13,2026-02-13 08:45:04,2026-02-13 08:45:04,2026-02-14 08:45:04,2026-02-14 08:45:04,2026-02-14 08:45:04,02:00:00,02:00:00,3459.21,3679.77,0.00,3679.77,completed,Generated by seed,True
58,58,228,29,2026-03-13,2026-03-13 10:48:57,2026-03-13 10:48:57,2026-03-14 10:48:57,2026-03-14 10:48:57,2026-03-14 10:48:57,02:00:00,02:00:00,3631.41,3714.83,0.00,3714.83,completed,Generated by seed,True
59,59,228,29,2026-04-04,2026-04-04 08:36:59,2026-04-04 08:36:59,2026-04-05 08:36:59,2026-04-05 08:36:59,2026-04-05 08:36:59,02:00:00,02:00:00,3043.82,3142.34,0.00,3142.34,in_progress,Generated by seed,True
60,60,229,30,2026-01-25,2026-01-25 04:35:24,2026-01-25 04:35:24,2026-01-26 04:35:24,2026-01-26 04:35:24,2026-01-26 04:35:24,02:00:00,02:00:00,3342.28,3497.35,0.00,3497.35,completed,Generated by seed,True
61,61,229,30,2026-03-10,2026-03-10 14:00:53,2026-03-10 14:00:53,2026-03-11 14:00:53,2026-03-11 14:00:53,2026-03-11 14:00:53,02:00:00,02:00:00,1921.84,2364.97,0.00,2364.97,completed,Generated by seed,True
62,62,230,31,2026-02-01,2026-02-01 10:42:01,2026-02-01 10:42:01,2026-02-02 10:42:01,2026-02-02 10:42:01,2026-02-02 10:42:01,02:00:00,02:00:00,1883.09,2000.07,0.00,2000.07,completed,Generated by seed,True
63,63,230,31,2026-04-06,2026-04-06 13:49:44,2026-04-06 13:49:44,2026-04-07 13:49:44,2026-04-07 13:49:44,2026-04-07 13:49:44,02:00:00,02:00:00,853.19,786.71,0.00,786.71,completed,Generated by seed,True
64,64,231,32,2026-01-22,2026-01-22 08:37:39,2026-01-22 08:37:39,2026-01-23 08:37:39,2026-01-23 08:37:39,2026-01-23 08:37:39,02:00:00,02:00:00,872.12,863.90,0.00,863.90,in_progress,Generated by seed,True
65,65,232,33,2026-03-05,2026-03-05 06:21:18,2026-03-05 06:21:18,2026-03-06 06:21:18,2026-03-06 06:21:18,2026-03-06 06:21:18,02:00:00,02:00:00,1202.96,1327.27,0.00,1327.27,completed,Generated by seed,True
66,66,232,33,2026-03-12,2026-03-12 11:31:07,2026-03-12 11:31:07,2026-03-13 11:31:07,2026-03-13 11:31:07,2026-03-13 11:31:07,02:00:00,02:00:00,4645.50,4646.22,0.00,4646.22,completed,Generated by seed,True
67,67,233,34,2026-02-26,2026-02-26 17:26:25,2026-02-26 17:26:25,2026-02-27 17:26:25,2026-02-27 17:26:25,2026-02-27 17:26:25,02:00:00,02:00:00,3674.07,3558.69,0.00,3558.69,in_progress,Generated by seed,True
68,68,234,35,2026-02-03,2026-02-03 00:07:04,2026-02-03 00:07:04,2026-02-04 00:07:04,2026-02-04 00:07:04,2026-02-04 00:07:04,02:00:00,02:00:00,6560.39,6269.93,0.00,6269.93,completed,Generated by seed,True
69,69,234,35,2026-02-24,2026-02-24 21:41:11,2026-02-24 21:41:11,2026-02-25 21:41:11,2026-02-25 21:41:11,2026-02-25 21:41:11,02:00:00,02:00:00,3047.25,3593.55,0.00,3593.55,completed,Generated by seed,True
70,70,235,36,2026-02-16,2026-02-16 04:42:03,2026-02-16 04:42:03,2026-02-17 04:42:03,2026-02-17 04:42:03,2026-02-17 04:42:03,02:00:00,02:00:00,1609.77,1554.36,0.00,1554.36,completed,Generated by seed,True
71,71,235,36,2026-03-08,2026-03-08 08:36:57,2026-03-08 08:36:57,2026-03-09 08:36:57,2026-03-09 08:36:57,2026-03-09 08:36:57,02:00:00,02:00:00,2134.07,1893.95,0.00,1893.95,completed,Generated by seed,True
72,72,235,36,2026-04-01,2026-04-01 07:05:16,2026-04-01 07:05:16,2026-04-02 07:05:16,2026-04-02 07:05:16,2026-04-02 07:05:16,02:00:00,02:00:00,2501.41,2789.00,0.00,2789.00,completed,Generated by seed,True
73,73,236,37,2026-02-06,2026-02-06 01:22:48,2026-02-06 01:22:48,2026-02-07 01:22:48,2026-02-07 01:22:48,2026-02-07 01:22:48,02:00:00,02:00:00,1811.66,2034.14,0.00,2034.14,in_progress,Generated by seed,True
74,74,237,38,2026-02-21,2026-02-21 13:05:45,2026-02-21 13:05:45,2026-02-22 13:05:45,2026-02-22 13:05:45,2026-02-22 13:05:45,02:00:00,02:00:00,2676.12,2363.90,0.00,2363.90,completed,Generated by seed,True
75,75,238,39,2026-01-27,2026-01-27 05:49:04,2026-01-27 05:49:04,2026-01-28 05:49:04,2026-01-28 05:49:04,2026-01-28 05:49:04,02:00:00,02:00:00,1163.03,1115.80,0.00,1115.80,in_progress,Generated by seed,True
77,77,239,40,2026-03-03,2026-03-03 19:34:23,2026-03-03 19:34:23,2026-03-04 19:34:23,2026-03-04 19:34:23,2026-03-04 19:34:23,02:00:00,02:00:00,1841.41,2043.46,0.00,2043.46,completed,Generated by seed,True
78,78,239,40,2026-05-06,2026-05-06 05:43:30,2026-05-06 05:43:30,2026-05-07 05:43:30,2026-05-07 05:43:30,2026-05-07 05:43:30,02:00:00,02:00:00,5500.52,6008.50,0.00,6008.50,in_progress,Generated by seed,True
79,79,240,41,2026-02-01,2026-02-01 07:13:48,2026-02-01 07:13:48,2026-02-02 07:13:48,2026-02-02 07:13:48,2026-02-02 07:13:48,02:00:00,02:00:00,5618.64,5902.79,0.00,5902.79,in_progress,Generated by seed,True
80,80,241,42,2026-02-09,2026-02-09 21:48:20,2026-02-09 21:48:20,2026-02-10 21:48:20,2026-02-10 21:48:20,2026-02-10 21:48:20,02:00:00,02:00:00,764.39,897.66,0.00,897.66,completed,Generated by seed,True
81,81,242,43,2026-01-31,2026-01-31 00:37:52,2026-01-31 00:37:52,2026-02-01 00:37:52,2026-02-01 00:37:52,2026-02-01 00:37:52,02:00:00,02:00:00,2348.18,2391.42,0.00,2391.42,completed,Generated by seed,True
82,82,243,44,2026-02-01,2026-02-01 22:00:10,2026-02-01 22:00:10,2026-02-02 22:00:10,2026-02-02 22:00:10,2026-02-02 22:00:10,02:00:00,02:00:00,1206.11,1383.79,0.00,1383.79,in_progress,Generated by seed,True
83,83,244,45,2026-01-31,2026-01-31 16:49:01,2026-01-31 16:49:01,2026-02-01 16:49:01,2026-02-01 16:49:01,2026-02-01 16:49:01,02:00:00,02:00:00,2929.18,3107.61,0.00,3107.61,completed,Generated by seed,True
84,84,244,45,2026-03-15,2026-03-15 03:42:56,2026-03-15 03:42:56,2026-03-16 03:42:56,2026-03-16 03:42:56,2026-03-16 03:42:56,02:00:00,02:00:00,3203.13,3694.38,0.00,3694.38,completed,Generated by seed,True
85,85,244,45,2026-04-13,2026-04-13 11:33:33,2026-04-13 11:33:33,2026-04-14 11:33:33,2026-04-14 11:33:33,2026-04-14 11:33:33,02:00:00,02:00:00,837.60,829.47,0.00,829.47,completed,Generated by seed,True
86,86,245,46,2026-01-30,2026-01-30 14:10:08,2026-01-30 14:10:08,2026-01-31 14:10:08,2026-01-31 14:10:08,2026-01-31 14:10:08,02:00:00,02:00:00,1291.50,1138.22,0.00,1138.22,completed,Generated by seed,True
87,87,245,46,2026-03-26,2026-03-26 04:34:20,2026-03-26 04:34:20,2026-03-27 04:34:20,2026-03-27 04:34:20,2026-03-27 04:34:20,02:00:00,02:00:00,3545.47,3390.77,0.00,3390.77,in_progress,Generated by seed,True
88,88,246,47,2026-02-12,2026-02-12 18:32:26,2026-02-12 18:32:26,2026-02-13 18:32:26,2026-02-13 18:32:26,2026-02-13 18:32:26,02:00:00,02:00:00,7673.73,8849.95,0.00,8849.95,completed,Generated by seed,True
89,89,246,47,2026-04-01,2026-04-01 23:52:53,2026-04-01 23:52:53,2026-04-02 23:52:53,2026-04-02 23:52:53,2026-04-02 23:52:53,02:00:00,02:00:00,5689.23,6056.68,0.00,6056.68,completed,Generated by seed,True
90,90,246,47,2026-03-22,2026-03-22 07:27:49,2026-03-22 07:27:49,2026-03-23 07:27:49,2026-03-23 07:27:49,2026-03-23 07:27:49,02:00:00,02:00:00,4630.41,5052.91,0.00,5052.91,completed,Generated by seed,True
91,91,247,48,2026-02-24,2026-02-24 23:33:55,2026-02-24 23:33:55,2026-02-25 23:33:55,2026-02-25 23:33:55,2026-02-25 23:33:55,02:00:00,02:00:00,7848.84,8767.72,0.00,8767.72,completed,Generated by seed,True
92,92,247,48,2026-03-04,2026-03-04 17:39:58,2026-03-04 17:39:58,2026-03-05 17:39:58,2026-03-05 17:39:58,2026-03-05 17:39:58,02:00:00,02:00:00,2728.77,2410.66,0.00,2410.66,in_progress,Generated by seed,True
93,93,248,49,2026-03-02,2026-03-02 10:15:26,2026-03-02 10:15:26,2026-03-03 10:15:26,2026-03-03 10:15:26,2026-03-03 10:15:26,02:00:00,02:00:00,1121.47,1264.76,0.00,1264.76,completed,Generated by seed,True
94,94,248,49,2026-03-01,2026-03-01 17:00:42,2026-03-01 17:00:42,2026-03-02 17:00:42,2026-03-02 17:00:42,2026-03-02 17:00:42,02:00:00,02:00:00,838.15,860.34,0.00,860.34,in_progress,Generated by seed,True
95,95,249,50,2026-02-06,2026-02-06 04:15:36,2026-02-06 04:15:36,2026-02-07 04:15:36,2026-02-07 04:15:36,2026-02-07 04:15:36,02:00:00,02:00:00,3746.76,3352.48,0.00,3352.48,completed,Generated by seed,True
96,96,249,50,2026-02-25,2026-02-25 10:12:55,2026-02-25 10:12:55,2026-02-26 10:12:55,2026-02-26 10:12:55,2026-02-26 10:12:55,02:00:00,02:00:00,3224.30,3272.00,0.00,3272.00,completed,Generated by seed,True
97,97,250,51,2026-02-23,2026-02-23 12:36:11,2026-02-23 12:36:11,2026-02-24 12:36:11,2026-02-24 12:36:11,2026-02-24 12:36:11,02:00:00,02:00:00,4348.76,4686.23,0.00,4686.23,completed,Generated by seed,True
98,98,251,52,2026-02-27,2026-02-27 07:25:14,2026-02-27 07:25:14,2026-02-28 07:25:14,2026-02-28 07:25:14,2026-02-28 07:25:14,02:00:00,02:00:00,1859.66,1924.04,0.00,1924.04,completed,Generated by seed,True
99,99,251,52,2026-03-06,2026-03-06 02:46:36,2026-03-06 02:46:36,2026-03-07 02:46:36,2026-03-07 02:46:36,2026-03-07 02:46:36,02:00:00,02:00:00,5314.73,5245.41,0.00,5245.41,completed,Generated by seed,True
