id,job_order_id,service_id,description_of_work,estimated_duration,actual_duration,estimated_hours,actual_hours,estimated_amount,actual_amount
3087,1760,5,Tire pressure adjusted to manufacturer spec; tread depth recorded.,00:09:52,00:45:00,0.91,0.04,1212.21,1766.960516668526
3088,1761,5,"All fluid levels checked and topped up: coolant, brake, power steering.",00:06:37,01:19:00,1.17,0.04,1559.66,1955.7304869568802
2435,1434,5,Tire rotation performed; all four corners swapped per pattern.,00:18:17,03:00:00,2.69,0.02,3588.88,3509.7646059267013
2436,1435,5,Tire rotation performed; all four corners swapped per pattern.,00:16:42,00:54:00,1.08,0.08,1434.07,1687.1408667578219
2437,1435,5,Engine bay wash and basic undercarriage inspection.,00:20:13,01:15:00,1.01,0.03,1341.34,1641.4983981971668
2438,1436,5,Battery terminals cleaned and coated; voltage test passed.,00:18:28,01:50:00,1.49,0.03,1989.31,1762.8041199177417
2439,1436,5,"All fluid levels checked and topped up: coolant, brake, power steering.",00:20:30,01:34:00,1.39,0.03,1851.44,2591.7736603600506
2440,1437,5,Cabin air filter replaced; A/C evaporator spray applied.,00:18:46,03:25:00,3.38,0.10,4500.15,4724.221289582274
2441,1437,5,Tire rotation performed; all four corners swapped per pattern.,00:05:32,04:31:00,3.38,0.05,4508.84,4512.924970096734
2442,1438,5,Battery terminals cleaned and coated; voltage test passed.,00:05:54,03:18:00,2.45,0.08,3263.72,3546.5869214842696
2443,1438,5,Battery terminals cleaned and coated; voltage test passed.,00:05:31,02:08:00,2.66,0.06,3548.1,3901.2368919902956
2444,1439,5,Quick oil and filter change — standard 4L synthetic oil used.,00:21:59,02:33:00,2.49,0.05,3315.36,3215.7143581254595
2445,1439,5,Cabin air filter replaced; A/C evaporator spray applied.,00:08:23,02:50:00,2.35,0.08,3134.48,3960.5290112069165
2446,1440,5,Cabin air filter replaced; A/C evaporator spray applied.,00:15:44,01:14:00,1.33,0.08,1772.79,2152.509452564148
2447,1440,5,Engine bay wash and basic undercarriage inspection.,00:06:04,01:14:00,1.59,0.07,2119.08,2314.1148382936167
2448,1441,5,Cabin air filter replaced; A/C evaporator spray applied.,00:12:57,01:34:00,1.92,0.08,2564.7,2165.53116931181
2449,1441,5,Engine bay wash and basic undercarriage inspection.,00:21:10,02:01:00,1.86,0.08,2485.0,2248.7783829686205
2450,1442,5,Windshield wiper blades replaced; washer fluid topped up.,00:07:33,01:43:00,1.31,0.08,1749.29,1942.663085813422
2451,1442,5,Windshield wiper blades replaced; washer fluid topped up.,00:05:49,01:35:00,1.28,0.06,1700.77,2000.730652146387
2452,1443,5,"All fluid levels checked and topped up: coolant, brake, power steering.",00:14:31,01:53:00,1.17,0.04,1558.82,2076.3936261602375
2453,1443,5,Battery terminals cleaned and coated; voltage test passed.,00:21:44,01:12:00,1.03,0.09,1372.28,1539.8717119803732
2454,1444,5,Quick oil and filter change — standard 4L synthetic oil used.,00:05:44,01:36:00,1.35,0.05,1803.63,1978.7956347091776
3138,1786,5,Tire rotation performed; all four corners swapped per pattern.,00:21:58,02:55:00,2.52,0.04,3359.16,3185.04100799544
2455,1444,5,Windshield wiper blades replaced; washer fluid topped up.,00:21:01,01:56:00,1.52,0.09,2020.06,2230.9961908818204
2456,1445,5,"All fluid levels checked and topped up: coolant, brake, power steering.",00:15:24,01:53:00,1.90,0.10,2532.98,2707.7762007023407
2457,1445,5,Battery terminals cleaned and coated; voltage test passed.,00:22:03,02:14:00,2.06,0.08,2747.91,2498.977297045315
2458,1446,5,Engine bay wash and basic undercarriage inspection.,00:08:37,02:50:00,2.56,0.05,3417.57,3371.166993701004
2459,1446,5,Tire rotation performed; all four corners swapped per pattern.,00:05:48,03:07:00,2.80,0.03,3732.84,3593.308608976655
2460,1447,5,"All fluid levels checked and topped up: coolant, brake, power steering.",00:11:24,02:28:00,2.17,0.10,2894.66,2430.599940235884
2461,1447,5,Quick oil and filter change — standard 4L synthetic oil used.,00:10:02,03:08:00,2.44,0.07,3256.17,3773.6120631677586
2462,1448,5,Quick oil and filter change — standard 4L synthetic oil used.,00:05:00,02:11:00,2.18,0.07,2908.34,3053.6978043450567
2463,1448,5,Tire rotation performed; all four corners swapped per pattern.,00:19:34,02:40:00,1.91,0.04,2541.07,1986.656716454099
2464,1449,5,Cabin air filter replaced; A/C evaporator spray applied.,00:09:50,03:34:00,3.32,0.09,4429.72,4392.5848944906265
2465,1449,5,Tire rotation performed; all four corners swapped per pattern.,00:09:22,02:28:00,3.10,0.03,4136.56,4962.443071132189
2466,1450,5,Cabin air filter replaced; A/C evaporator spray applied.,00:06:41,03:00:00,2.95,0.06,3932.27,3342.3265368362663
2467,1450,5,Quick oil and filter change — standard 4L synthetic oil used.,00:04:59,03:39:00,3.26,0.03,4352.42,3936.325398949113
2468,1451,5,Tire pressure adjusted to manufacturer spec; tread depth recorded.,00:06:58,03:05:00,2.92,0.08,3893.5,3771.751621128925
2469,1451,5,Tire pressure adjusted to manufacturer spec; tread depth recorded.,00:12:24,02:40:00,2.92,0.03,3899.92,3576.976842095583
2470,1452,5,Battery terminals cleaned and coated; voltage test passed.,00:05:51,01:40:00,2.35,0.09,3131.59,3827.9981326444267
2471,1452,5,Windshield wiper blades replaced; washer fluid topped up.,00:18:17,02:56:00,2.47,0.05,3293.7,3504.7998289193506
2472,1453,5,Windshield wiper blades replaced; washer fluid topped up.,00:14:54,01:01:00,1.34,0.09,1793.06,2112.4597003255467
2473,1453,5,"All fluid levels checked and topped up: coolant, brake, power steering.",00:05:43,00:58:00,1.23,0.03,1636.7,1960.512157417118
2474,1454,5,Battery terminals cleaned and coated; voltage test passed.,00:06:19,02:18:00,2.55,0.06,3405.93,3077.6453546356793
2478,1456,5,Engine bay wash and basic undercarriage inspection.,00:21:23,01:48:00,1.62,0.08,2163.97,2322.9554167712668
2479,1456,5,Tire pressure adjusted to manufacturer spec; tread depth recorded.,00:13:13,01:18:00,1.58,0.06,2107.6,2346.429141860627
2481,1457,5,Battery terminals cleaned and coated; voltage test passed.,00:17:40,01:23:00,1.09,0.02,1458.02,1211.5622907240358
2482,1458,5,Quick oil and filter change — standard 4L synthetic oil used.,00:09:52,03:07:00,2.31,0.10,3081.02,3516.500309842262
2483,1458,5,Quick oil and filter change — standard 4L synthetic oil used.,00:10:29,02:06:00,2.23,0.02,2975.53,4143.11211364533
2484,1459,5,Engine bay wash and basic undercarriage inspection.,00:17:18,03:24:00,3.36,0.07,4477.35,4309.938634071728
2485,1459,5,"All fluid levels checked and topped up: coolant, brake, power steering.",00:08:56,02:24:00,2.71,0.10,3607.98,4312.876128785387
2486,1460,5,Cabin air filter replaced; A/C evaporator spray applied.,00:08:39,02:41:00,2.07,0.10,2756.95,2887.353349994071
2487,1460,5,Tire pressure adjusted to manufacturer spec; tread depth recorded.,00:05:53,02:36:00,2.03,0.05,2702.91,2234.3695382574538
2488,1461,5,"All fluid levels checked and topped up: coolant, brake, power steering.",00:18:19,00:56:00,1.14,0.04,1521.75,1518.911463684563
2489,1461,5,Tire pressure adjusted to manufacturer spec; tread depth recorded.,00:13:20,01:07:00,1.16,0.09,1543.93,1882.7518111415814
2490,1462,5,Engine bay wash and basic undercarriage inspection.,00:12:31,01:40:00,1.89,0.08,2514.71,2420.668545189081
2491,1462,5,"All fluid levels checked and topped up: coolant, brake, power steering.",00:09:25,03:06:00,2.27,0.07,3029.8,3473.581522094097
2492,1463,5,Engine bay wash and basic undercarriage inspection.,00:11:01,02:52:00,2.25,0.08,3005.17,3705.191496295619
2493,1463,5,Cabin air filter replaced; A/C evaporator spray applied.,00:16:50,02:49:00,2.10,0.05,2801.92,2824.284278532449
2494,1464,5,Engine bay wash and basic undercarriage inspection.,00:08:39,00:45:00,1.00,0.09,1331.74,1351.478045884029
2495,1464,5,Windshield wiper blades replaced; washer fluid topped up.,00:06:08,01:10:00,1.11,0.03,1474.84,2063.2463088130335
2496,1465,5,Cabin air filter replaced; A/C evaporator spray applied.,00:13:15,01:10:00,0.93,0.07,1239.01,1355.1152584475306
2497,1465,5,"All fluid levels checked and topped up: coolant, brake, power steering.",00:12:47,01:24:00,1.13,0.04,1506.39,2154.496644658857
2498,1466,5,Engine bay wash and basic undercarriage inspection.,00:19:00,01:50:00,2.61,0.07,3480.93,3894.213170962289
2499,1466,5,Windshield wiper blades replaced; washer fluid topped up.,00:20:00,03:41:00,2.70,0.09,3606.4,4187.874530483209
2500,1467,5,Engine bay wash and basic undercarriage inspection.,00:14:29,02:51:00,2.85,0.03,3801.38,3544.3171191906345
2501,1467,5,Battery terminals cleaned and coated; voltage test passed.,00:06:59,03:34:00,2.62,0.06,3491.14,3852.5921538880716
2502,1468,5,Tire pressure adjusted to manufacturer spec; tread depth recorded.,00:20:56,01:45:00,1.36,0.08,1813.6,1920.9128130869508
2503,1468,5,Engine bay wash and basic undercarriage inspection.,00:06:34,01:50:00,1.37,0.05,1823.1,1676.4439697911312
2504,1469,5,Engine bay wash and basic undercarriage inspection.,00:19:40,02:57:00,2.85,0.05,3801.13,4379.711745058425
2505,1469,5,Windshield wiper blades replaced; washer fluid topped up.,00:04:59,02:43:00,2.76,0.09,3684.1,3842.471394659146
2506,1470,5,Tire rotation performed; all four corners swapped per pattern.,00:08:17,02:35:00,2.30,0.06,3072.9,2917.087818675507
2507,1470,5,Battery terminals cleaned and coated; voltage test passed.,00:06:28,02:42:00,2.34,0.10,3118.44,3137.293097207078
2508,1471,5,Tire pressure adjusted to manufacturer spec; tread depth recorded.,00:12:04,01:38:00,2.07,0.04,2761.85,2875.9543245146124
2509,1471,5,Engine bay wash and basic undercarriage inspection.,00:06:42,02:30:00,2.45,0.07,3270.05,4468.380609895868
3189,1811,5,Quick oil and filter change — standard 4L synthetic oil used.,00:21:12,01:25:00,0.89,0.05,1192.76,1082.1264704295238
3490,2,5,Describe the service...,,04:42:00,4.01,1.50,5345.36,4972.56165920143
3491,2,1,Describe the service...,,03:19:00,2.25,1.00,3369.39,3900.751756173544
3190,1812,5,Tire rotation performed; all four corners swapped per pattern.,00:20:02,01:02:00,1.05,0.07,1399.77,1643.2661138218373
3191,1812,5,"All fluid levels checked and topped up: coolant, brake, power steering.",00:07:35,01:17:00,1.07,0.02,1424.18,1304.5077652347763
3192,1813,5,Battery terminals cleaned and coated; voltage test passed.,00:20:16,01:12:00,1.56,0.04,2084.31,2301.574510314885
3193,1813,5,Engine bay wash and basic undercarriage inspection.,00:20:38,01:27:00,1.26,0.09,1683.15,1645.1988178489032
2510,1472,5,Tire pressure adjusted to manufacturer spec; tread depth recorded.,00:20:38,00:53:00,0.97,0.09,1295.89,1528.1220998994445
2511,1472,5,Tire pressure adjusted to manufacturer spec; tread depth recorded.,00:12:33,01:15:00,1.17,0.04,1563.95,1674.1974437608476
2512,1473,5,Engine bay wash and basic undercarriage inspection.,00:09:17,03:18:00,2.79,0.05,3720.83,3757.560453754716
2513,1473,5,Quick oil and filter change — standard 4L synthetic oil used.,00:14:40,03:20:00,3.23,0.08,4302.66,4979.353939404578
2514,1474,5,Tire rotation performed; all four corners swapped per pattern.,00:08:49,00:26:00,0.91,0.08,1212.6,1222.9160778682087
2515,1474,5,Engine bay wash and basic undercarriage inspection.,00:21:55,01:27:00,1.20,0.06,1600.34,1745.4778030684802
2516,1475,5,Cabin air filter replaced; A/C evaporator spray applied.,00:08:44,04:01:00,3.34,0.03,4458.6,5157.89042249354
2517,1475,5,"All fluid levels checked and topped up: coolant, brake, power steering.",00:14:46,03:12:00,2.88,0.10,3833.92,4067.8455545209185
2518,1476,5,Tire pressure adjusted to manufacturer spec; tread depth recorded.,00:13:50,02:03:00,2.27,0.03,3031.26,3146.554405330501
2519,1476,5,Quick oil and filter change — standard 4L synthetic oil used.,00:09:23,02:07:00,2.64,0.09,3519.28,3377.061472762857
2520,1477,5,Windshield wiper blades replaced; washer fluid topped up.,00:17:05,01:52:00,1.16,0.05,1543.72,1817.1356291540476
2521,1477,5,Cabin air filter replaced; A/C evaporator spray applied.,00:08:28,01:11:00,0.97,0.07,1298.04,1620.255288464527
2522,1478,5,Quick oil and filter change — standard 4L synthetic oil used.,00:06:18,01:12:00,1.35,0.06,1793.85,1673.4268582013003
2523,1478,5,Quick oil and filter change — standard 4L synthetic oil used.,00:07:03,01:33:00,1.33,0.09,1779.2,1657.6305539740165
2524,1479,5,"All fluid levels checked and topped up: coolant, brake, power steering.",00:15:14,01:49:00,1.42,0.05,1894.45,1976.0439982418118
2525,1479,5,"All fluid levels checked and topped up: coolant, brake, power steering.",00:21:54,01:58:00,1.59,0.09,2115.02,2540.642570868146
2527,1480,5,Engine bay wash and basic undercarriage inspection.,00:21:05,01:24:00,1.04,0.02,1388.04,1694.7946178454465
2528,1481,5,Engine bay wash and basic undercarriage inspection.,00:14:03,01:36:00,1.11,0.05,1478.19,1282.3416139583915
2529,1481,5,Engine bay wash and basic undercarriage inspection.,00:09:24,01:11:00,1.07,0.08,1432.4,1600.2587845036182
2530,1482,5,Battery terminals cleaned and coated; voltage test passed.,00:21:40,03:23:00,2.75,0.09,3672.22,4692.640334141666
2531,1482,5,"All fluid levels checked and topped up: coolant, brake, power steering.",00:19:08,02:18:00,2.61,0.06,3482.97,4470.433553739504
2532,1483,5,Tire pressure adjusted to manufacturer spec; tread depth recorded.,00:18:54,00:44:00,1.14,0.09,1520.19,2037.9175934233144
2536,1485,5,Tire rotation performed; all four corners swapped per pattern.,00:14:44,01:35:00,1.30,0.07,1739.3,1575.2539981130922
2537,1485,5,Cabin air filter replaced; A/C evaporator spray applied.,00:07:03,00:54:00,1.26,0.03,1677.77,1424.0024343174707
2538,1486,5,Tire rotation performed; all four corners swapped per pattern.,00:09:06,01:26:00,1.00,0.04,1336.62,1524.6480977330355
2539,1486,5,Tire pressure adjusted to manufacturer spec; tread depth recorded.,00:16:16,00:41:00,0.95,0.04,1265.8,1559.9552196545778
2540,1487,5,Battery terminals cleaned and coated; voltage test passed.,00:10:58,02:07:00,1.85,0.06,2469.12,2867.653176290498
2541,1487,5,Battery terminals cleaned and coated; voltage test passed.,00:13:34,01:41:00,1.75,0.10,2330.81,2479.49907858149
2542,1488,5,Quick oil and filter change — standard 4L synthetic oil used.,00:15:17,02:11:00,2.45,0.03,3262.87,3096.57103846291
2543,1488,5,"All fluid levels checked and topped up: coolant, brake, power steering.",00:13:27,03:29:00,2.57,0.07,3426.54,4349.725574218288
2544,1489,5,Battery terminals cleaned and coated; voltage test passed.,00:17:57,02:42:00,2.62,0.09,3488.74,3932.249839504221
2545,1489,5,Windshield wiper blades replaced; washer fluid topped up.,00:21:18,03:39:00,2.63,0.04,3501.23,4177.067913361776
2546,1490,5,Battery terminals cleaned and coated; voltage test passed.,00:15:47,02:08:00,2.62,0.08,3499.96,4427.469274898913
2547,1490,5,Tire pressure adjusted to manufacturer spec; tread depth recorded.,00:20:14,03:38:00,2.77,0.06,3699.65,3929.776608301303
2548,1491,5,Windshield wiper blades replaced; washer fluid topped up.,00:15:07,01:55:00,2.20,0.06,2927.33,3645.6411821650604
2549,1491,5,Battery terminals cleaned and coated; voltage test passed.,00:16:43,02:10:00,2.24,0.07,2991.53,2634.085206418497
2550,1492,5,Battery terminals cleaned and coated; voltage test passed.,00:09:41,03:23:00,2.51,0.05,3351.16,3116.699871805601
2551,1492,5,"All fluid levels checked and topped up: coolant, brake, power steering.",00:19:25,02:48:00,2.33,0.08,3104.67,3293.317551482318
2552,1493,5,Tire rotation performed; all four corners swapped per pattern.,00:09:08,01:50:00,1.45,0.02,1935.31,2314.0471235061755
2553,1493,5,Cabin air filter replaced; A/C evaporator spray applied.,00:06:41,02:14:00,1.58,0.06,2101.19,1975.7683744118337
2554,1494,5,Engine bay wash and basic undercarriage inspection.,00:16:34,02:07:00,1.98,0.03,2644.94,3035.4167743371554
2555,1494,5,Battery terminals cleaned and coated; voltage test passed.,00:18:08,02:04:00,2.33,0.08,3111.72,3503.0496809972774
2556,1495,5,Quick oil and filter change — standard 4L synthetic oil used.,00:12:32,01:26:00,1.89,0.06,2513.42,2349.7713965923285
2557,1495,5,Tire pressure adjusted to manufacturer spec; tread depth recorded.,00:17:37,01:52:00,1.76,0.05,2343.64,2252.210832907179
2558,1496,5,Windshield wiper blades replaced; washer fluid topped up.,00:08:36,03:35:00,3.19,0.08,4259.06,4840.367675812673
2559,1496,5,Windshield wiper blades replaced; washer fluid topped up.,00:20:30,03:26:00,3.19,0.08,4257.25,5125.96157325041
2560,1497,5,Windshield wiper blades replaced; washer fluid topped up.,00:10:05,01:56:00,1.40,0.03,1868.65,1926.5556174360474
2561,1497,5,Tire pressure adjusted to manufacturer spec; tread depth recorded.,00:19:07,01:40:00,1.63,0.04,2172.41,2179.8457691565254
2562,1498,5,Tire rotation performed; all four corners swapped per pattern.,00:11:05,02:45:00,2.69,0.06,3591.96,3891.2965024764685
2563,1498,5,Cabin air filter replaced; A/C evaporator spray applied.,00:15:25,02:55:00,2.56,0.05,3408.97,3222.7378907354946
2564,1499,5,Quick oil and filter change — standard 4L synthetic oil used.,00:13:58,03:07:00,2.41,0.09,3219.8,3887.634670588597
2565,1499,5,Windshield wiper blades replaced; washer fluid topped up.,00:10:20,02:44:00,2.43,0.06,3244.03,3354.1708831974015
2566,1500,5,Quick oil and filter change — standard 4L synthetic oil used.,00:08:38,02:42:00,3.03,0.03,4046.66,4857.3066727775085
2567,1500,5,Cabin air filter replaced; A/C evaporator spray applied.,00:10:52,03:02:00,2.79,0.07,3713.58,4379.690822884322
2568,1501,5,Battery terminals cleaned and coated; voltage test passed.,00:14:13,02:48:00,2.91,0.08,3883.69,4230.625797318959
2569,1501,5,Engine bay wash and basic undercarriage inspection.,00:19:56,02:47:00,2.49,0.10,3325.34,4519.391591619373
2570,1502,5,Tire pressure adjusted to manufacturer spec; tread depth recorded.,00:18:50,02:00:00,1.90,0.05,2533.31,2248.894678140405
2571,1502,5,Quick oil and filter change — standard 4L synthetic oil used.,00:12:06,02:08:00,1.79,0.04,2383.65,2841.1332422906244
2572,1503,5,Engine bay wash and basic undercarriage inspection.,00:14:53,01:27:00,1.81,0.06,2417.54,2467.408607538787
2573,1503,5,Engine bay wash and basic undercarriage inspection.,00:10:53,01:59:00,1.87,0.06,2495.27,2754.4894555985525
2575,1504,5,Windshield wiper blades replaced; washer fluid topped up.,00:17:36,02:01:00,2.77,0.07,3687.86,3363.5226637136966
3494,1178,7,Describe the service...,,03:20:00,3.78,1.00,9446.05,12334.768225661734
2576,1505,5,Tire rotation performed; all four corners swapped per pattern.,00:21:12,01:55:00,2.19,0.10,2925.2,3611.297138122911
2577,1505,5,Quick oil and filter change — standard 4L synthetic oil used.,00:14:32,02:15:00,2.19,0.04,2925.99,3482.4526066716476
2578,1506,5,Quick oil and filter change — standard 4L synthetic oil used.,00:19:18,02:59:00,2.67,0.03,3564.38,3508.1921425075348
2579,1506,5,Quick oil and filter change — standard 4L synthetic oil used.,00:16:28,02:52:00,2.91,0.05,3882.59,4786.34351629087
2580,1507,5,Tire pressure adjusted to manufacturer spec; tread depth recorded.,00:11:52,02:26:00,2.04,0.09,2718.64,3261.3688681329395
2581,1507,5,Cabin air filter replaced; A/C evaporator spray applied.,00:07:13,01:36:00,1.66,0.09,2216.46,2786.6369159451774
2593,1513,5,"All fluid levels checked and topped up: coolant, brake, power steering.",00:10:54,02:25:00,2.06,0.03,2744.39,2500.953169235236
2594,1514,5,"All fluid levels checked and topped up: coolant, brake, power steering.",00:18:56,02:02:00,1.62,0.03,2162.16,2693.35592134718
2595,1514,5,Cabin air filter replaced; A/C evaporator spray applied.,00:08:49,01:44:00,1.54,0.04,2052.07,2085.667529938962
2596,1515,5,Engine bay wash and basic undercarriage inspection.,00:15:47,03:17:00,2.72,0.05,3625.4,4819.218687492599
2597,1515,5,"All fluid levels checked and topped up: coolant, brake, power steering.",00:14:22,03:55:00,2.91,0.06,3878.42,3724.7544345677566
2598,1516,5,Engine bay wash and basic undercarriage inspection.,00:14:04,02:52:00,2.51,0.05,3348.42,3366.6406399770553
2599,1516,5,Tire rotation performed; all four corners swapped per pattern.,00:17:15,03:13:00,2.62,0.08,3496.05,3839.008948527361
2600,1517,5,Battery terminals cleaned and coated; voltage test passed.,00:12:50,01:57:00,1.91,0.04,2551.5,2263.0049460247296
2601,1517,5,Tire pressure adjusted to manufacturer spec; tread depth recorded.,00:17:12,01:44:00,1.94,0.05,2586.31,2883.860472672549
2602,1518,5,"All fluid levels checked and topped up: coolant, brake, power steering.",00:11:47,03:06:00,3.27,0.08,4360.49,4450.607298704141
2603,1518,5,Tire pressure adjusted to manufacturer spec; tread depth recorded.,00:17:14,02:57:00,2.66,0.06,3553.18,3269.2388837036647
2604,1519,5,Tire pressure adjusted to manufacturer spec; tread depth recorded.,00:07:21,01:41:00,1.64,0.07,2181.98,2643.610968104956
2605,1519,5,Windshield wiper blades replaced; washer fluid topped up.,00:14:46,02:01:00,1.63,0.03,2167.65,2427.9080494388068
2606,1520,5,Engine bay wash and basic undercarriage inspection.,00:11:58,02:10:00,2.50,0.03,3332.64,3078.2753054031728
2607,1520,5,Battery terminals cleaned and coated; voltage test passed.,00:11:14,02:10:00,1.95,0.07,2602.13,2405.9839687647877
2608,1521,5,Quick oil and filter change — standard 4L synthetic oil used.,00:10:47,00:58:00,1.04,0.08,1390.92,1113.6184878801616
2609,1521,5,Quick oil and filter change — standard 4L synthetic oil used.,00:21:40,00:55:00,0.96,0.03,1276.35,1693.7863527751392
2610,1522,5,Tire rotation performed; all four corners swapped per pattern.,00:08:23,02:25:00,2.07,0.09,2759.41,2783.339048812357
2611,1522,5,Tire pressure adjusted to manufacturer spec; tread depth recorded.,00:12:11,02:06:00,1.95,0.05,2597.26,2631.2747167612247
2612,1523,5,Tire pressure adjusted to manufacturer spec; tread depth recorded.,00:13:09,02:53:00,2.20,0.09,2928.14,3431.3894951605184
2613,1523,5,Cabin air filter replaced; A/C evaporator spray applied.,00:13:40,03:08:00,2.48,0.08,3300.08,3200.959443992075
2614,1524,5,Battery terminals cleaned and coated; voltage test passed.,00:08:14,01:09:00,1.34,0.10,1793.15,2066.9804735091902
2615,1524,5,Tire pressure adjusted to manufacturer spec; tread depth recorded.,00:09:15,01:07:00,1.30,0.04,1733.45,1912.0398492892796
2616,1525,5,"All fluid levels checked and topped up: coolant, brake, power steering.",00:10:48,02:54:00,2.73,0.05,3637.83,3560.3565049752488
2617,1525,5,Quick oil and filter change — standard 4L synthetic oil used.,00:13:36,02:46:00,2.76,0.02,3682.51,3469.40959963063
