id,job_order_id,job_order_service_id,purchase_order_id,status,part_number,description,quantity,retail_unit_price,total_retail_amount,supplier_unit_cost,is_oem,tier
28,10,17,,received,,Crankshaft Oil Seal,1,450.00,450.00,315.00,false,replacement
29,10,17,,received,,Camshaft Oil Seal,1,450.00,450.00,315.00,false,replacement
30,10,17,,received,,Drive / Fan Belt,1,1250.00,1250.00,875.00,false,replacement
31,10,17,,received,,Water Pump,1,3500.00,3500.00,2450.00,false,replacement
32,10,17,,received,,Water Coolant,6,175.00,1050.00,122.50,false,replacement
33,10,17,,received,,Coolant Bypass Hose / Tube,1,2800.00,2800.00,1960.00,false,replacement
34,10,17,,received,,Alternator,1,1000.00,1000.00,700.00,false,replacement
35,11,18,,received,,Pressure Plate,1,3300.00,3300.00,2310.00,false,replacement
36,11,18,,received,,Clutch Disc,1,3100.00,3100.00,2170.00,false,replacement
37,11,18,,received,,Release Bearing,1,1250.00,1250.00,875.00,false,replacement
38,11,18,,received,,Set Oil Seal,1,1700.00,1700.00,1190.00,false,replacement
39,11,18,,received,,Pilot Bearing,1,250.00,250.00,175.00,false,replacement
40,12,19,,received,,Pressure Plate,1,3500.00,3500.00,2450.00,false,replacement
41,12,19,,received,,Clutch Disc,1,3300.00,3300.00,2310.00,false,replacement
42,12,19,,received,,Release Bearing,1,1250.00,1250.00,875.00,false,replacement
43,12,19,,received,,Oil Seal,1,1300.00,1300.00,910.00,false,replacement
44,14,26,,received,,Wheel Bearing,2,1800.00,3600.00,1260.00,false,replacement
45,14,26,,received,,Oil Filter,1,350.00,350.00,245.00,false,replacement
46,14,26,,received,,Cabin Filter,1,450.00,450.00,315.00,false,replacement
47,14,26,,received,,Air Filter,1,450.00,450.00,315.00,false,replacement
48,14,26,,received,,Brake Cleaner,1,250.00,250.00,175.00,false,standard
49,14,26,,received,,Suspension Bushing,2,650.00,1300.00,455.00,false,replacement
50,14,26,,received,,Brake Pads,1,1700.00,1700.00,1190.00,false,replacement
51,15,27,,received,,Timing Belt,1,3000.00,3000.00,2100.00,false,replacement
52,15,27,,received,,Tensioner Timing Belt,1,3300.00,3300.00,2310.00,false,replacement
53,15,27,,received,,Transmission Adjuster,1,450.00,450.00,315.00,false,replacement
54,15,27,,received,,Camshaft,1,450.00,450.00,315.00,false,replacement
55,15,27,,received,,Drive / Fan Belt,1,1250.00,1250.00,875.00,false,replacement
56,15,27,,received,,Water Pump,1,3500.00,3500.00,2450.00,false,replacement
57,15,27,,received,,Engine Coolant,6,175.00,1050.00,122.50,false,standard
58,16,28,,received,,Pressure Plate,1,5800.00,5800.00,4060.00,false,replacement
59,16,28,,received,,Clutch Disc,1,4600.00,4600.00,3220.00,false,replacement
60,16,28,,received,,Release Bearing,1,2550.00,2550.00,1785.00,false,replacement
61,16,28,,received,,Md Canl Cat,1,2000.00,2000.00,1400.00,false,replacement
62,16,28,,received,,Pilot Bearing,1,350.00,350.00,245.00,false,replacement
63,17,29,,received,,Engine Oil,4,400.00,1600.00,280.00,false,standard
64,17,29,,received,,Oil Filter,1,350.00,350.00,245.00,false,replacement
65,18,38,,received,,Engine Oil,8,450.00,3600.00,315.00,false,standard
66,18,38,,received,,Tie Rod End,2,1200.00,2400.00,840.00,false,replacement
67,18,38,,received,,Tie Rod End,2,1250.00,2500.00,875.00,false,replacement
68,18,38,,received,,Clutch Slave Cylinder,1,500.00,500.00,350.00,false,replacement
69,18,38,,received,,Brake Pads,1,2000.00,2000.00,1400.00,false,replacement
70,18,38,,received,,Brake Shoe,1,2500.00,2500.00,1750.00,false,replacement
71,18,38,,received,,Cabin Filter,1,550.00,550.00,385.00,false,replacement
72,18,38,,received,,Air Filter,1,750.00,750.00,525.00,false,replacement
73,18,38,,received,,Fuel Filter,1,850.00,850.00,595.00,false,replacement
74,18,38,,received,,Oil Filter,1,650.00,650.00,455.00,false,replacement
75,18,38,,received,,Engine Coolant,8,175.00,1400.00,122.50,false,standard
76,18,38,,received,,Brake Fluid,1,300.00,300.00,210.00,false,standard
77,18,38,,received,,Power Steering Fluid,1,400.00,400.00,280.00,false,standard
78,18,38,,received,,Steering Boots,2,500.00,1000.00,350.00,false,replacement
79,19,41,,received,,Brake Pads,1,1800.00,1800.00,1260.00,false,replacement
80,19,41,,received,,Brake Cleaner,1,200.00,200.00,140.00,false,standard
81,19,41,,received,,Brake Fluid,1,300.00,300.00,210.00,false,standard
82,19,41,,received,,Replace Kit,1,950.00,950.00,665.00,false,replacement
83,19,41,,received,,Shock Absorber,2,4000.00,8000.00,2800.00,false,replacement
84,20,44,,received,,Fuel Pump Assy,1,6800.00,6800.00,4760.00,false,replacement
85,20,44,,received,,Ignition Coil,1,2200.00,2200.00,1540.00,false,replacement
86,20,44,,received,,Socket,4,250.00,1000.00,175.00,false,replacement
87,21,,,received,,Engine Oil,7,350.00,2450.00,245.00,false,standard
88,21,,,received,,Brake Cleaner,1,250.00,250.00,175.00,false,standard
89,21,,,received,,Oil,1,350.00,350.00,245.00,false,replacement
90,21,,,received,,Air Filter,1,650.00,650.00,455.00,false,replacement
91,21,,,received,,Fuel Filter,1,450.00,450.00,315.00,false,replacement
92,22,,,received,,Lower Suspension,1,3800.00,3800.00,2660.00,false,replacement
93,22,,,received,,Upper Suspension,1,2500.00,2500.00,1750.00,false,replacement
94,22,,,received,,Tie Rod End,2,1200.00,2400.00,840.00,false,replacement
95,22,,,received,,Tie Rod End,2,1200.00,2400.00,840.00,false,replacement
96,23,46,,received,,Oil Pump,1,9500.00,9500.00,6650.00,false,replacement
97,23,46,,received,,Engine Oil,8,400.00,3200.00,280.00,false,standard
98,23,46,,received,,Oil Filter,1,450.00,450.00,315.00,false,replacement
99,23,46,,received,,Air Filter,1,550.00,550.00,385.00,false,replacement
100,23,46,,received,,Fuel Filter,1,750.00,750.00,525.00,false,replacement
101,23,46,,received,,Cabin Filter,1,450.00,450.00,315.00,false,replacement
102,24,55,,received,,Engine Oil,8,450.00,3600.00,315.00,false,standard
103,24,55,,received,,Tie Rod End,2,1200.00,2400.00,840.00,false,replacement
104,24,55,,received,,Tie Rod End,2,1250.00,2500.00,875.00,false,replacement
105,24,55,,received,,Air Filter,1,650.00,650.00,455.00,false,replacement
106,24,55,,received,,Fuel Filter,1,850.00,850.00,595.00,false,replacement
107,24,55,,received,,Oil Filter,1,650.00,650.00,455.00,false,replacement
108,24,55,,received,,Cabin Filter,1,550.00,550.00,385.00,false,replacement
109,24,55,,received,,Brake Shoe,1,2500.00,2500.00,1750.00,false,replacement
110,24,55,,received,,Brake Caliper Repair Kit,1,750.00,750.00,525.00,false,replacement
111,24,55,,received,,Engine Coolant,8,175.00,1400.00,122.50,false,standard
112,24,55,,received,,Brake Fluid,1,300.00,300.00,210.00,false,standard
113,24,55,,received,,Power Steering Fluid,1,350.00,350.00,245.00,false,standard
114,24,55,,received,,Steering Boots,2,550.00,1100.00,385.00,false,replacement
115,24,55,,received,,Wheel Cylinder,2,1000.00,2000.00,700.00,false,replacement
116,24,55,,received,,Brake Pads,1,2000.00,2000.00,1400.00,false,replacement
117,25,57,,received,,Cylinder Head Gasket,1,3500.00,3500.00,2450.00,false,replacement
118,25,57,,received,,Valve Seal,16,120.00,1920.00,84.00,false,replacement
119,25,57,,received,,Engine Coolant,8,200.00,1600.00,140.00,false,standard
120,25,57,,received,,Silicone,1,250.00,250.00,175.00,false,replacement
121,26,60,,received,,Wheel Bearing,1,3500.00,3500.00,2450.00,false,replacement
122,27,64,,received,,Radiator,1,5500.00,5500.00,3850.00,false,replacement
123,27,64,,received,,Engine Coolant,8,200.00,1600.00,140.00,false,standard
124,27,64,,received,,Transmission Oil Seal,1,2200.00,2200.00,1540.00,false,replacement
125,27,64,,received,,Crankshaft Oil Seal,1,2500.00,2500.00,1750.00,false,replacement
126,27,64,,received,,Automatic Transmission Fluid (ATF),6,500.00,3000.00,350.00,false,standard
127,27,64,,received,,Drive / Fan Belt,1,2500.00,2500.00,1750.00,false,replacement
128,27,64,,received,,N70 Battery (amaron),1,7200.00,7200.00,5040.00,false,replacement
129,27,64,,received,,Engine Oil,8,400.00,3200.00,280.00,false,standard
130,27,64,,received,,Cabin Filter,1,350.00,350.00,245.00,false,replacement
131,27,64,,received,,Fuel Filter,1,450.00,450.00,315.00,false,replacement
132,27,64,,received,,Air Filter,1,450.00,450.00,315.00,false,replacement
133,27,64,,received,,Oil Filter,1,250.00,250.00,175.00,false,replacement
134,29,72,,received,,Tie Rod End,2,950.00,1900.00,665.00,false,replacement
135,29,72,,received,,Tie Rod End,2,950.00,1900.00,665.00,false,replacement
136,29,72,,received,,Stab Clamp Bushing,2,500.00,1000.00,350.00,false,replacement
137,29,72,,received,,Shock Upper,2,350.00,700.00,245.00,false,replacement
138,29,72,,received,,Engine Oil,4,400.00,1600.00,280.00,false,standard
139,29,72,,received,,Oil Filter,1,350.00,350.00,245.00,false,replacement
140,29,72,,received,,Cabin Filter,1,450.00,450.00,315.00,false,replacement
141,30,76,,received,,Shock,2,2200.00,4400.00,1540.00,false,replacement
142,30,76,,received,,Brake Pads,1,1300.00,1300.00,910.00,false,replacement
143,30,76,,received,,Engine Oil,4,450.00,1800.00,315.00,false,standard
144,30,76,,received,,Oil Filter,1,350.00,350.00,245.00,false,replacement
145,30,76,,received,,Cabin Filter,1,350.00,350.00,245.00,false,replacement
146,30,76,,received,,Air Filter,1,450.00,450.00,315.00,false,replacement
147,30,76,,received,,Brake Cleaner,1,250.00,250.00,175.00,false,standard
148,30,76,,received,,Sparkplug,3,1250.00,3750.00,875.00,false,replacement
149,31,79,,received,,Brake Master Cylinder,1,4000.00,4000.00,2800.00,false,replacement
150,31,79,,received,,Brake Fluid,1,300.00,300.00,210.00,false,standard
151,31,79,,received,,Brake Cleaner,1,200.00,200.00,140.00,false,standard
152,32,83,,received,,Engine Oil,8,500.00,4000.00,350.00,false,standard
153,32,83,,received,,Oil Filter,1,650.00,650.00,455.00,false,replacement
154,32,83,,received,,Cabin Filter,1,500.00,500.00,350.00,false,replacement
155,32,83,,received,,Fuel Filter,1,450.00,450.00,315.00,false,replacement
156,32,83,,received,,Brake Cleaner,1,250.00,250.00,175.00,false,standard
157,32,83,,received,,Air Filter,1,500.00,500.00,350.00,false,replacement
158,32,83,,received,,Wheel Cylinder,2,900.00,1800.00,630.00,false,replacement
159,33,85,,received,,Shock KYB,2,4200.00,8400.00,2940.00,false,replacement
160,33,85,,received,,Stabilizer Link,2,1200.00,2400.00,840.00,false,replacement
161,33,85,,received,,Auxiliary Fan / Blower Motor,1,6000.00,6000.00,4200.00,false,replacement
162,34,90,,received,,Spark Plug,4,280.00,1120.00,196.00,false,replacement
163,35,91,,received,,Transmission Assy,1,28000.00,28000.00,19600.00,false,replacement
164,35,91,,received,,Dexron 3,6,300.00,1800.00,210.00,false,replacement
165,35,91,,received,,Gear / Differential Oil,2,250.00,500.00,175.00,false,standard
166,35,91,,received,,Crankshaft Oil Seal,1,3000.00,3000.00,2100.00,false,replacement
167,36,95,,received,,Toyota Gear Oil,4,400.00,1600.00,280.00,false,replacement
168,36,95,,received,,Oil Filter,1,250.00,250.00,175.00,false,replacement
169,36,95,,received,,Air Filter,1,350.00,350.00,245.00,false,replacement
170,36,95,,received,,Cabin Filter,1,350.00,350.00,245.00,false,replacement
171,36,95,,received,,Suspension Bushing,2,450.00,900.00,315.00,false,replacement
172,36,95,,received,,Valve Cover Gasket,1,650.00,650.00,455.00,false,replacement
173,36,95,,received,,Brake Shoe,1,1500.00,1500.00,1050.00,false,replacement
174,37,99,,received,,Stabilizer Link,8,80.00,640.00,56.00,false,replacement
175,37,99,,received,,Stab Clamp Bushing,1,200.00,200.00,140.00,false,replacement
176,37,99,,received,,Tie Rod End,2,950.00,1900.00,665.00,false,replacement
177,37,99,,received,,Tie Rod End,2,900.00,1800.00,630.00,false,replacement
178,37,99,,received,,Clutch Set,1,6000.00,6000.00,4200.00,false,replacement
179,38,100,,received,,Axle Oil Seal,2,1600.00,3200.00,1120.00,false,replacement
180,38,100,,received,,Inner Oil Seal,1,1500.00,1500.00,1050.00,false,replacement
181,38,100,,received,,Crankshaft Oil Seal,1,2000.00,2000.00,1400.00,false,replacement
182,38,100,,received,,Automatic Transmission Fluid (ATF),8,900.00,7200.00,630.00,false,standard
183,38,100,,received,,Transmission Filter,1,3000.00,3000.00,2100.00,false,replacement
184,39,,,received,,Cabin Filter,1,1000.00,1000.00,700.00,false,replacement
185,39,,,received,,Air Filter,1,1500.00,1500.00,1050.00,false,replacement
186,39,,,received,,Oil Filter,1,1300.00,1300.00,910.00,false,replacement
187,39,,,received,,Engine Oil,4,600.00,2400.00,420.00,false,standard
188,40,102,,received,,Fuel Filter,1,750.00,750.00,525.00,false,replacement
189,40,102,,received,,Valve Cover Gasket,1,950.00,950.00,665.00,false,replacement
190,42,106,,received,,Auxiliary Fan / Blower Motor,1,3500.00,3500.00,2450.00,false,replacement
191,43,107,,received,,Shock,2,4200.00,8400.00,2940.00,false,replacement
192,43,107,,received,,CV Joint,2,3200.00,6400.00,2240.00,false,replacement
193,43,107,,received,,Suspension Bushing,2,550.00,1100.00,385.00,false,replacement
194,43,107,,received,,Shock Boot,2,400.00,800.00,280.00,false,replacement
195,43,107,,received,,Inner Boot,2,350.00,700.00,245.00,false,replacement
196,44,110,,received,,Starter Motor,1,2200.00,2200.00,1540.00,false,replacement
197,44,110,,received,,Automotive Light Bulb,2,120.00,240.00,84.00,false,replacement
198,45,111,,received,,Clutch Disc,1,4000.00,4000.00,2800.00,false,replacement
199,45,111,,received,,Pressure Plate,1,5500.00,5500.00,3850.00,false,replacement
200,45,111,,received,,Release Bearing,1,1200.00,1200.00,840.00,false,replacement
201,45,111,,received,,Pilot Bearing,1,350.00,350.00,245.00,false,replacement
202,46,112,,received,,Engine Oil,3,350.00,1050.00,245.00,false,standard
203,46,112,,received,,Valve Cover Gasket,1,1250.00,1250.00,875.00,false,replacement
204,46,112,,received,,Silicone,1,250.00,250.00,175.00,false,replacement
205,47,115,,received,,Brake Caliper Repair Kit,1,850.00,850.00,595.00,false,replacement
206,47,115,,received,,Rack End,1,9000.00,9000.00,6300.00,false,replacement
207,47,115,,received,,Brake Fluid,1,350.00,350.00,245.00,false,standard
208,48,116,,received,,Transmission Assy,1,2800.00,2800.00,1960.00,false,replacement
209,48,116,,received,,Differencial Gear Oil,2,250.00,500.00,175.00,false,replacement
210,48,116,,received,,Crankshaft Oil Seal,1,3000.00,3000.00,2100.00,false,replacement
211,48,116,,received,,Rack in Pinion Kit,1,3500.00,3500.00,2450.00,false,replacement
212,48,116,,received,,Dextron 3,6,300.00,1800.00,210.00,false,replacement
213,49,120,,received,,Pressure Plate,1,3200.00,3200.00,2240.00,false,replacement
214,49,120,,received,,Clutch Disc,1,2500.00,2500.00,1750.00,false,replacement
215,49,120,,received,,Release Bearing,1,1200.00,1200.00,840.00,false,replacement
216,49,120,,received,,Crankshaft Oil Seal,1,1100.00,1100.00,770.00,false,replacement
217,49,120,,received,,Axle Oil Seal,2,600.00,1200.00,420.00,false,replacement
218,49,120,,received,,Camshaft Bushings,1,1100.00,1100.00,770.00,false,replacement
219,49,120,,received,,Suspension Bushing,2,450.00,900.00,315.00,false,replacement
220,49,120,,received,,Axle Boot,2,450.00,900.00,315.00,false,replacement
221,49,120,,received,,Engine / Transmission Support,1,2800.00,2800.00,1960.00,false,replacement
222,49,120,,received,,Valve Cover Gasket,1,2500.00,2500.00,1750.00,false,replacement
223,49,120,,received,,Brake Pads,1,1500.00,1500.00,1050.00,false,replacement
224,49,120,,received,,Gear / Differential Oil,1,400.00,400.00,280.00,false,standard
225,50,126,,received,,Engine / Transmission Support,1,2200.00,2200.00,1540.00,false,replacement
226,50,126,,received,,Drive / Fan Belt,1,3000.00,3000.00,2100.00,false,replacement
227,50,126,,received,,Shock Rr KYB,2,2800.00,5600.00,1960.00,false,replacement
228,50,126,,received,,Silicone,1,250.00,250.00,175.00,false,replacement
229,50,126,,received,,Engine / Transmission Support,2,1600.00,3200.00,1120.00,false,replacement
230,50,126,,received,,Cross Joint,3,850.00,2550.00,595.00,false,replacement
231,50,126,,received,,Trans Oil Seal,1,450.00,450.00,315.00,false,replacement
232,50,126,,received,,Brake Cleaner,1,250.00,250.00,175.00,false,standard
233,52,143,,received,,Suspension Arm,1,1900.00,1900.00,1330.00,false,replacement
234,52,143,,received,,Tie Rod End,1,1500.00,1500.00,1050.00,false,replacement
235,52,143,,received,,Replace RH Support,1,800.00,800.00,560.00,false,replacement
236,52,143,,received,,Support Rear Lower,1,800.00,800.00,560.00,false,replacement
237,52,143,,received,,Replace LH Support,1,1800.00,1800.00,1260.00,false,replacement
238,53,150,,received,,Engine Oil,8,350.00,2800.00,245.00,false,standard
239,53,150,,received,,Oil Filter,1,450.00,450.00,315.00,false,replacement
240,53,150,,received,,Air Filter,1,650.00,650.00,455.00,false,replacement
241,53,150,,received,,Cabin Filter,1,450.00,450.00,315.00,false,replacement
242,53,150,,received,,Fuel Filter,1,450.00,450.00,315.00,false,replacement
243,53,150,,received,,Spiral Cable,1,3500.00,3500.00,2450.00,false,replacement
244,53,150,,received,,Headlight Bulbs,1,450.00,450.00,315.00,false,replacement
245,53,150,,received,,Stud Bolt,2,250.00,500.00,175.00,false,replacement
246,53,150,,received,,Stud Nut,2,250.00,500.00,175.00,false,replacement
247,53,150,,received,,Brake Cleaner,1,250.00,250.00,175.00,false,standard
248,53,150,,received,,Brake Shoe,1,2800.00,2800.00,1960.00,false,replacement
249,54,153,,received,,Engine Oil,3,450.00,1350.00,315.00,false,standard
250,54,153,,received,,Cabin Filter,1,350.00,350.00,245.00,false,replacement
251,54,153,,received,,Oil Filter,1,350.00,350.00,245.00,false,replacement
252,54,153,,received,,Pressure Plate,1,3800.00,3800.00,2660.00,false,replacement
253,54,153,,received,,Pressure Plate,1,4800.00,4800.00,3360.00,true,original
254,54,153,,received,,Clutch Disc,1,2800.00,2800.00,1960.00,false,replacement
255,54,153,,received,,Clutch Disc,1,5200.00,5200.00,3640.00,true,original
256,54,153,,received,,Release Bearing,1,950.00,950.00,665.00,true,original
257,54,153,,received,,Release Bearing,1,2000.00,2000.00,1400.00,false,replacement
258,54,153,,received,,Wheel Cylinder,1,950.00,950.00,665.00,false,replacement
259,55,157,,received,,Engine Oil,4,450.00,1800.00,315.00,false,standard
260,55,157,,received,,Oil Filter,1,450.00,450.00,315.00,false,replacement
261,55,157,,received,,Brake Cleaner,1,250.00,250.00,175.00,false,standard
262,55,157,,received,,Carb / Throttle Cleaner,1,250.00,250.00,175.00,false,standard
263,56,164,,received,,Valve Cover Gasket,1,1500.00,1500.00,1050.00,false,replacement
264,56,164,,received,,Injector Washer,4,250.00,1000.00,175.00,false,replacement
265,56,164,,received,,Injector O-ring,4,150.00,600.00,105.00,false,replacement
266,56,164,,received,,Power Steering Fluid,2,450.00,900.00,315.00,false,standard
267,56,164,,received,,Pressurized Hose,1,3500.00,3500.00,2450.00,false,replacement
268,56,164,,received,,Silicone,1,250.00,250.00,175.00,false,replacement
269,56,164,,received,,Engine Oil,8,450.00,3600.00,315.00,false,standard
270,56,164,,received,,Oil Filter,1,550.00,550.00,385.00,false,replacement
271,56,164,,received,,Air Filter,1,650.00,650.00,455.00,false,replacement
272,56,164,,received,,Cabin Filter,1,550.00,550.00,385.00,false,replacement
273,56,164,,received,,Fuel Filter,1,1200.00,1200.00,840.00,false,replacement
274,57,165,,received,,Transmission,1,65000.00,65000.00,45500.00,false,replacement
275,57,165,,received,,Automatic Transmission Fluid (ATF),8,450.00,3600.00,315.00,false,standard
276,58,167,,received,,Rack End,1,8500.00,8500.00,5950.00,false,replacement
277,58,167,,received,,Brake Caliper Repair Kit,1,850.00,850.00,595.00,false,replacement
278,58,167,,received,,Brake Fluid,1,300.00,300.00,210.00,false,standard
279,59,,,received,,Drive / Fan Belt,1,750.00,750.00,525.00,false,replacement
280,59,,,received,,Ignition Coil,2,800.00,1600.00,560.00,false,replacement
281,59,,,received,,Spark Plug,3,250.00,750.00,175.00,false,replacement
282,59,,,received,,Engine Coolant,1,1000.00,1000.00,700.00,false,standard
283,60,169,,received,,Silicone,1,250.00,250.00,175.00,false,replacement
284,60,169,,received,,Oil Filter,1,250.00,250.00,175.00,false,replacement
285,60,169,,received,,Engine Oil,3,350.00,1050.00,245.00,false,standard
286,60,169,,received,,Valve Seal,12,100.00,1200.00,70.00,false,replacement
287,61,174,,received,,Engine Oil,8,450.00,3600.00,315.00,false,standard
288,61,174,,received,,Oil Filter,1,450.00,450.00,315.00,false,replacement
289,61,174,,received,,Cabin Filter,1,450.00,450.00,315.00,false,replacement
290,61,174,,received,,Brake Cleaner,1,250.00,250.00,175.00,false,standard
291,61,174,,received,,Air Filter,1,750.00,750.00,525.00,false,replacement
292,61,174,,received,,Fuel Filter,1,650.00,650.00,455.00,false,replacement
293,61,174,,received,,EGR,1,13500.00,13500.00,9450.00,false,replacement
294,62,179,,received,,Stabilizer Link,8,800.00,6400.00,560.00,false,replacement
295,62,179,,received,,Stab Clamp Bushing,2,250.00,500.00,175.00,false,replacement
296,62,179,,received,,Tie Rod End,2,950.00,1900.00,665.00,false,replacement
297,62,179,,received,,Tie Rod End,2,650.00,1300.00,455.00,false,replacement
298,63,,,received,,Cabin Filter,1,1000.00,1000.00,700.00,false,replacement
299,63,,,received,,Air Filter,1,1500.00,1500.00,1050.00,false,replacement
300,63,,,received,,Oil Filter,1,1300.00,1300.00,910.00,false,replacement
301,63,,,received,,Engine Oil,4,600.00,2400.00,420.00,false,standard
302,65,186,,received,,Returned Hose,3,1100.00,3300.00,770.00,false,replacement
303,65,186,,received,,Pressurized Hose,1,3200.00,3200.00,2240.00,false,replacement
304,65,186,,received,,Power Steering Fluid,1,350.00,350.00,245.00,false,standard
305,66,190,,received,,Valve Cover Gasket,1,650.00,650.00,455.00,false,replacement
306,66,190,,received,,Brake Pads,1,1300.00,1300.00,910.00,false,replacement
307,66,190,,received,,Oil Filter,1,350.00,350.00,245.00,false,replacement
308,66,190,,received,,Air Filter,1,450.00,450.00,315.00,false,replacement
309,66,190,,received,,Engine Oil,4,400.00,1600.00,280.00,false,standard
310,66,190,,received,,Shock Mounting,2,750.00,1500.00,525.00,false,replacement
311,66,190,,received,,Brake Cleaner,1,250.00,250.00,175.00,false,standard
312,66,190,,received,,Cabin Filter,1,350.00,350.00,245.00,false,replacement
313,67,,,received,,Connecting Rod Bearing,1,1200.00,1200.00,840.00,false,replacement
314,67,,,received,,Main Bearing (min),1,2000.00,2000.00,1400.00,false,replacement
315,67,,,received,,Thrust Washer Daido,1,600.00,600.00,420.00,false,replacement
316,67,,,received,,Piston Ring,1,3500.00,3500.00,2450.00,false,replacement
317,67,,,received,,Overhauling Gasket Set,1,4500.00,4500.00,3150.00,false,replacement
318,67,,,received,,Engine Oil,6,400.00,2400.00,280.00,false,standard
319,67,,,received,,Oil Filter,1,350.00,350.00,245.00,false,replacement
320,67,,,received,,Engine Coolant,7,150.00,1050.00,105.00,false,standard
321,67,,,received,,Silicone,1,250.00,250.00,175.00,false,replacement
322,67,,,received,,Liner,1,4500.00,4500.00,3150.00,false,replacement
323,68,194,,received,,Air Filter,1,550.00,550.00,385.00,false,replacement
324,68,194,,received,,Oil Filter,1,450.00,450.00,315.00,false,replacement
325,68,194,,received,,Tie Rod End,2,850.00,1700.00,595.00,false,replacement
326,68,194,,received,,Tie Rod End,2,850.00,1700.00,595.00,false,replacement
327,68,194,,received,,Brake Pads,1,1800.00,1800.00,1260.00,false,replacement
328,68,194,,received,,Engine Oil,5,450.00,2250.00,315.00,false,standard
329,68,194,,received,,Steering Boots,2,350.00,700.00,245.00,false,replacement
330,69,196,,received,,Shocking Bearing,3,450.00,1350.00,315.00,false,replacement
331,69,196,,received,,Brake Cleaner,1,250.00,250.00,175.00,false,standard
332,70,200,,received,,Shock,2,5500.00,11000.00,3850.00,false,replacement
333,70,200,,received,,Rack End,2,1700.00,3400.00,1190.00,false,replacement
334,70,200,,received,,Tier Rod Bar,2,1800.00,3600.00,1260.00,false,replacement
335,70,200,,received,,Suspension Arm,2,5000.00,10000.00,3500.00,false,replacement
336,71,,,received,,Brake Cleaner,1,250.00,250.00,175.00,false,standard
337,71,,,received,,Ball Joint,2,750.00,1500.00,525.00,false,replacement
338,72,205,,received,,Shock Front - KYB,2,3500.00,7000.00,2450.00,false,replacement
339,72,205,,received,,Shock Mounting,2,750.00,1500.00,525.00,false,replacement
340,73,206,,received,,Transmission Filter,1,5000.00,5000.00,3500.00,false,replacement
341,73,206,,received,,Engine / Transmission Support,1,5000.00,5000.00,3500.00,false,replacement
342,73,206,,received,,Transmission Oil Seal,1,1200.00,1200.00,840.00,false,replacement
343,73,206,,received,,Inhibitor Oil Seal,1,350.00,350.00,245.00,false,replacement
344,74,211,,received,,Brake Pads,1,1400.00,1400.00,980.00,false,replacement
345,74,211,,received,,Brake Shoe,1,1500.00,1500.00,1050.00,false,replacement
346,74,211,,received,,Shock Mounting,2,950.00,1900.00,665.00,false,replacement
347,74,211,,received,,Air Filter,1,450.00,450.00,315.00,false,replacement
348,74,211,,received,,Cabin Filter,1,350.00,350.00,245.00,false,replacement
349,74,211,,received,,Oil Filter,1,350.00,350.00,245.00,false,replacement
350,74,211,,received,,Engine Oil,3,450.00,1350.00,315.00,false,standard
351,75,,,received,,Cylinder Head Gasket,1,2200.00,2200.00,1540.00,false,replacement
