service_id,service_name,base_price,base_duration_hours,is_price_fixed,vehicle_type,vehicle_age,mileage,estimated_duration_mins,actual_duration_mins,actual_amount,is_churned,vehicle_type_encoded,predicted_duration_mins,predicted_amount
36,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Van,8,113597.0,268.0,359.8,4625.0,1,5,369.9389999999998,4964.0
36,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Sedan,6,81156.0,281.0,328.5,3725.0,1,4,328.6740000000001,4356.5
22,Replace Suspension Bushing,1500.0,2.5,0,Sedan,10,148196.4,143.7,178.6,1800.0,1,4,188.62,1863.5
20,Tire Rotation & Balancing,800.0,0.75,1,Sedan,10,162693.5,45.6,47.4,800.0,1,4,48.159000000000006,802.0
1,Change Oil,650.0,0.75,1,Sedan,10,134066.1,45.2,43.6,650.0,0,4,44.70999999999997,652.5
22,Replace Suspension Bushing,1500.0,2.5,0,Sedan,10,129669.8,154.8,141.0,1400.0,0,4,166.51399999999998,1692.5
31,Replace Wheel Bearing,1350.0,1.5,1,Sedan,10,125442.6,88.5,89.1,1375.0,0,4,88.97400000000015,1362.5
1,Change Oil,650.0,0.75,1,Sedan,10,144890.9,44.4,45.2,625.0,0,4,45.39199999999997,635.0
14,Replace Brake Pads,600.0,1.0,1,Sedan,10,130738.1,57.2,58.6,650.0,1,4,58.84300000000003,632.0
58,General Mechanical Inspection & Check-Up,800.0,0.5,1,SUV,18,218328.9,31.2,30.4,800.0,1,3,30.46900000000003,809.5
36,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Van,8,119475.9,263.0,403.1,5600.0,1,5,386.80799999999965,5731.25
1,Change Oil,650.0,0.75,1,Sedan,16,211675.6,44.4,50.3,675.0,1,4,48.52200000000007,663.25
18,Wheel Alignment,900.0,1.0,1,Sedan,6,81032.4,62.0,58.3,875.0,0,4,64.29300000000006,915.5
9,Cleaning EGR,4500.0,3.5,0,Sedan,6,75660.2,213.7,270.7,5575.0,1,4,278.1639999999998,5514.0
16,Rotor Disc Refacing / Resurfacing,2500.0,2.0,1,Sedan,6,80823.1,116.1,109.9,2625.0,0,4,111.2999999999999,2557.25
23,Replace Tie Rod End,800.0,1.0,1,Sedan,6,91269.3,59.0,58.5,825.0,0,4,59.376,810.0
15,Replace Brake Shoes,800.0,1.0,1,Sedan,6,93463.5,60.3,53.8,800.0,0,4,56.25400000000005,799.0
1,Change Oil,650.0,0.75,1,Sedan,6,80898.3,46.8,42.3,675.0,0,4,44.08500000000004,667.0
3,Replace Fuel Filter,550.0,0.75,1,Sedan,6,84818.5,46.8,48.7,550.0,0,4,47.95099999999995,549.0
13,Brake Service & Cleaning,800.0,1.25,1,Sedan,6,83502.6,72.5,75.3,825.0,0,4,74.97200000000008,814.25
7,Replace Fuel Pump,750.0,1.5,0,Sedan,6,68539.9,91.5,146.5,1525.0,1,4,138.05700000000002,1482.0
21,Replace Shock Absorbers,1200.0,2.0,1,Sedan,6,85562.6,122.5,117.6,1150.0,0,4,122.33700000000013,1171.5
16,Rotor Disc Refacing / Resurfacing,2500.0,2.0,1,Sedan,6,93361.0,124.2,134.9,2650.0,0,4,126.92599999999986,2569.0
21,Replace Shock Absorbers,1200.0,2.0,1,Sedan,6,74028.5,117.2,127.8,1200.0,0,4,124.7369999999999,1201.5
43,Engine Diagnostics & Electrical Scan,1500.0,0.75,1,Sedan,6,92479.9,45.0,44.9,1625.0,0,4,44.98500000000003,1576.0
7,Replace Fuel Pump,750.0,1.5,0,Sedan,6,81077.7,88.0,112.0,1650.0,1,4,115.15699999999997,1452.0
12,Replace Spark Plugs,300.0,0.5,1,Sedan,6,83476.6,31.4,31.5,300.0,0,4,35.256,312.75
54,General Engine Overhaul,22000.0,24.0,0,Crossover,10,127686.4,1429.7,1868.8,24625.0,1,0,1832.0179999999975,25454.75
1,Change Oil,650.0,0.75,1,Crossover,10,141468.7,44.2,45.8,625.0,0,0,45.162000000000056,634.25
18,Wheel Alignment,900.0,1.0,1,SUV,17,271706.9,60.4,62.7,875.0,1,3,60.85799999999992,882.25
16,Rotor Disc Refacing / Resurfacing,2500.0,2.0,1,SUV,17,268144.8,120.2,126.0,2550.0,1,3,125.34100000000001,2558.0
9,Cleaning EGR,4500.0,3.5,0,SUV,17,255529.4,207.0,365.9,7675.0,1,3,306.54000000000013,8167.25
23,Replace Tie Rod End,800.0,1.0,1,SUV,17,265359.7,62.5,66.3,900.0,1,3,67.36299999999994,796.25
15,Replace Brake Shoes,800.0,1.0,1,SUV,17,261733.6,61.2,63.6,800.0,1,3,63.565000000000026,802.0
1,Change Oil,650.0,0.75,1,SUV,17,226866.2,43.2,42.4,650.0,1,3,45.47300000000001,644.5
3,Replace Fuel Filter,550.0,0.75,1,SUV,17,237715.0,44.0,43.4,550.0,1,3,45.037000000000035,547.25
58,General Mechanical Inspection & Check-Up,800.0,0.5,1,SUV,17,212233.5,29.6,30.3,775.0,1,3,29.828000000000017,795.0
39,Coolant Flush,350.0,0.75,1,SUV,17,254165.2,45.6,55.2,375.0,1,3,52.12499999999994,361.0
53,Top Overhaul,15000.0,14.0,0,Sedan,6,91737.5,880.0,792.5,13650.0,0,4,929.3549999999999,12412.5
1,Change Oil,650.0,0.75,1,Sedan,6,89605.3,44.7,42.8,675.0,0,4,45.70900000000002,647.0
31,Replace Wheel Bearing,1350.0,1.5,1,Sedan,6,73192.7,87.8,102.0,1375.0,0,4,89.1290000000001,1354.75
43,Engine Diagnostics & Electrical Scan,1500.0,0.75,1,Sedan,6,86483.9,47.0,49.4,1575.0,0,4,48.919000000000004,1543.5
58,General Mechanical Inspection & Check-Up,800.0,0.5,1,Sedan,6,87136.1,29.2,32.7,775.0,0,4,31.48399999999996,790.5
36,Down Clutch / Pulldown Transmission,3500.0,4.5,0,SUV,15,177372.6,257.7,386.6,14175.0,1,3,386.0749999999996,11294.75
1,Change Oil,650.0,0.75,1,SUV,15,187261.1,44.9,44.9,625.0,1,3,45.047999999999995,632.25
58,General Mechanical Inspection & Check-Up,800.0,0.5,1,SUV,15,206916.3,30.4,30.7,800.0,1,3,30.735999999999986,806.25
48,Replace Fan Belt / Serpentine Belt,1100.0,1.0,1,SUV,15,219092.4,62.1,58.5,1125.0,1,3,60.70099999999999,1102.25
1,Change Oil,650.0,0.75,1,Crossover,11,138456.5,42.9,46.0,650.0,1,0,45.281000000000006,643.25
51,Replace Valve Cover Gasket,1200.0,1.75,0,Crossover,11,157367.1,106.5,192.1,1900.0,1,0,175.51300000000015,1920.0
13,Brake Service & Cleaning,800.0,1.25,1,Crossover,11,173443.8,78.5,77.0,800.0,0,0,77.80000000000003,805.25
1,Change Oil,650.0,0.75,1,Sedan,6,85638.8,42.9,41.7,675.0,0,4,44.247000000000014,660.25
23,Replace Tie Rod End,800.0,1.0,1,Sedan,6,78893.5,60.8,63.8,825.0,0,4,61.310000000000066,814.0
22,Replace Suspension Bushing,1500.0,2.5,0,Sedan,6,89950.0,145.2,203.2,2550.0,1,4,177.77999999999997,1464.0
21,Replace Shock Absorbers,1200.0,2.0,1,Sedan,6,96136.2,118.5,114.5,1250.0,0,4,120.75299999999989,1186.75
18,Wheel Alignment,900.0,1.0,1,Sedan,6,100497.5,59.6,64.7,925.0,0,4,62.73299999999994,913.0
16,Rotor Disc Refacing / Resurfacing,2500.0,2.0,1,Sedan,6,81208.2,120.1,117.5,2575.0,0,4,118.333,2561.0
13,Brake Service & Cleaning,800.0,1.25,1,Sedan,6,93552.2,71.3,74.6,800.0,0,4,74.44099999999997,822.25
1,Change Oil,650.0,0.75,1,Sedan,6,97269.3,45.6,40.0,650.0,0,4,43.76199999999997,647.25
21,Replace Shock Absorbers,1200.0,2.0,1,Sedan,6,83630.7,123.0,131.6,1225.0,0,4,128.83900000000017,1223.0
17,Brake Master / Wheel Cylinder Overhaul,800.0,1.5,0,Sedan,25,310548.1,86.0,126.9,1300.0,1,4,131.614,1240.25
54,General Engine Overhaul,22000.0,24.0,0,Sedan,25,388332.3,1384.9,2667.0,45725.0,1,4,2354.4939999999992,42273.0
13,Brake Service & Cleaning,800.0,1.25,1,Sedan,25,358136.4,71.9,70.8,800.0,1,4,70.99600000000012,801.0
1,Change Oil,650.0,0.75,1,Sedan,6,95905.8,43.1,39.0,625.0,0,4,39.68300000000003,639.0
13,Brake Service & Cleaning,800.0,1.25,1,Sedan,6,98821.4,78.6,76.0,825.0,0,4,75.75999999999998,822.75
3,Replace Fuel Filter,550.0,0.75,1,Sedan,6,79106.9,45.3,49.3,550.0,0,4,48.02000000000007,549.25
9,Cleaning EGR,4500.0,3.5,0,Sedan,6,76072.9,199.7,228.1,5125.0,1,4,225.53299999999987,5239.75
21,Replace Shock Absorbers,1200.0,2.0,1,Sedan,7,83854.7,121.8,129.3,1250.0,0,4,128.77899999999994,1232.75
27,Replace Stabilizer Link,700.0,0.75,1,Sedan,7,110814.1,44.0,43.7,700.0,0,4,44.276999999999944,696.75
40,Radiator Replacement / Repair,1500.0,1.5,0,Sedan,6,90275.3,94.2,123.0,1900.0,1,4,120.99499999999998,1918.25
14,Replace Brake Pads,600.0,1.0,1,Sedan,6,75971.2,62.8,75.5,600.0,1,4,69.25199999999998,606.25
13,Brake Service & Cleaning,800.0,1.25,1,Sedan,6,89607.0,76.0,82.8,800.0,0,4,81.14300000000006,800.25
36,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Sedan,6,71743.2,282.2,351.4,4475.0,1,4,347.0400000000003,4309.0
35,Power Steering Pump Overhaul / Replacement,1800.0,2.0,0,Sedan,6,85489.1,116.3,102.7,1450.0,0,4,110.89600000000006,1602.75
36,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Sedan,21,297037.7,282.8,391.3,6350.0,1,4,435.18200000000036,6660.25
1,Change Oil,650.0,0.75,1,Sedan,6,95432.6,43.5,39.8,675.0,0,4,40.43800000000006,663.5
22,Replace Suspension Bushing,1500.0,2.5,0,Sedan,6,100644.3,143.2,179.3,1850.0,1,4,183.43099999999984,1954.75
13,Brake Service & Cleaning,800.0,1.25,1,Sedan,6,99287.9,72.4,63.9,825.0,0,4,73.49799999999995,805.5
51,Replace Valve Cover Gasket,1200.0,1.75,0,Sedan,6,101225.5,108.6,89.5,625.0,0,4,114.821,1113.25
36,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Sedan,6,74294.7,279.8,354.3,2550.0,0,4,342.2419999999999,3443.5
27,Replace Stabilizer Link,700.0,0.75,1,Sedan,6,97737.7,46.6,46.4,675.0,0,4,44.95500000000001,690.25
18,Wheel Alignment,900.0,1.0,1,Sedan,6,82502.5,60.6,65.3,875.0,0,4,63.300000000000075,886.75
58,General Mechanical Inspection & Check-Up,800.0,0.5,1,Sedan,6,86491.2,28.8,29.9,850.0,0,4,29.699000000000034,837.5
36,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Sedan,15,228101.2,279.5,534.9,7400.0,1,4,511.06200000000075,7654.0
3,Replace Fuel Filter,550.0,0.75,1,Sedan,6,93285.0,43.4,49.4,575.0,0,4,46.766000000000055,552.25
10,Throttle Body Cleaning,550.0,0.75,1,Sedan,6,73884.0,42.8,47.3,525.0,0,4,46.43400000000006,532.0
52,Reseal Oil Pan / Crankcase,2050.0,2.0,0,Sedan,6,82101.0,124.8,162.4,1700.0,0,4,165.80999999999992,1988.0
58,General Mechanical Inspection & Check-Up,800.0,0.5,1,Sedan,6,90962.7,30.4,26.9,800.0,0,4,28.376000000000044,798.0
54,General Engine Overhaul,22000.0,24.0,0,Sedan,6,90759.7,1438.9,2111.2,35550.0,1,4,2027.9930000000022,36345.75
42,Replace Auxiliary Fan / Motor,1500.0,1.0,1,Sedan,5,60789.1,57.8,60.7,1450.0,0,4,62.06099999999995,1466.25
58,General Mechanical Inspection & Check-Up,800.0,0.5,1,Sedan,6,75858.8,31.2,37.0,800.0,0,4,35.871,799.5
46,Starter Motor Repair / Replacement,2050.0,1.5,0,Sedan,6,73635.4,85.9,100.5,2000.0,0,4,104.11199999999997,2175.25
16,Rotor Disc Refacing / Resurfacing,2500.0,2.0,1,Sedan,6,72401.4,115.4,104.5,2475.0,0,4,109.61500000000004,2478.0
17,Brake Master / Wheel Cylinder Overhaul,800.0,1.5,0,Sedan,6,82286.9,91.7,104.5,1050.0,1,4,114.138,1471.5
36,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Van,12,192903.1,258.1,413.9,4325.0,1,5,400.41200000000055,4626.5
51,Replace Valve Cover Gasket,1200.0,1.75,0,Sedan,6,87357.0,101.9,123.9,1250.0,1,4,117.66799999999995,1365.75
18,Wheel Alignment,900.0,1.0,1,Sedan,6,86634.0,59.8,65.1,875.0,0,4,62.981000000000016,889.5
13,Brake Service & Cleaning,800.0,1.25,1,Sedan,6,95136.8,75.2,75.9,775.0,0,4,76.83199999999991,784.0
18,Wheel Alignment,900.0,1.0,1,Sedan,6,82934.9,58.6,58.9,900.0,0,4,59.352999999999966,899.0
36,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Sedan,1,11037.1,265.3,375.3,6700.0,1,4,330.9319999999997,5779.5
36,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Sedan,6,92419.9,258.8,438.0,6275.0,1,4,397.4879999999999,6005.25
22,Replace Suspension Bushing,1500.0,2.5,0,Sedan,6,90502.1,144.4,159.9,1225.0,0,4,174.0549999999999,1334.0
33,Replace Axle Boot,800.0,1.0,1,Sedan,6,89922.1,59.1,60.4,800.0,0,4,60.03699999999996,799.25
51,Replace Valve Cover Gasket,1200.0,1.75,0,Sedan,6,74016.6,101.4,116.4,950.0,0,4,118.06599999999985,1144.5
52,Reseal Oil Pan / Crankcase,2050.0,2.0,0,SUV,16,202646.5,116.1,130.4,1875.0,1,3,148.00099999999992,2667.0
32,Replace CV Joint,1800.0,1.5,0,SUV,16,251328.7,89.1,131.0,3075.0,1,3,133.83199999999997,3095.0
21,Replace Shock Absorbers,1200.0,2.0,1,SUV,16,206629.2,125.2,148.2,1250.0,1,3,140.45200000000014,1228.5
48,Replace Fan Belt / Serpentine Belt,1100.0,1.0,1,SUV,16,214922.1,58.1,55.7,1050.0,1,3,57.199999999999925,1070.0
50,Replace Engine Support,1200.0,1.5,0,SUV,16,222638.4,86.5,112.4,1625.0,1,3,131.84200000000004,1534.25
13,Brake Service & Cleaning,800.0,1.25,1,SUV,16,226206.0,74.9,72.5,800.0,1,3,75.22700000000003,799.75
14,Replace Brake Pads,600.0,1.0,1,Sedan,6,76825.9,57.4,55.8,625.0,0,4,56.19100000000007,608.75
33,Replace Axle Boot,800.0,1.0,1,Sedan,6,93239.0,60.6,49.8,775.0,0,4,54.90900000000006,781.75
24,Replace Rack End,900.0,1.25,1,Sedan,6,87456.7,77.5,80.1,900.0,0,4,78.2520000000001,900.25
22,Replace Suspension Bushing,1500.0,2.5,0,Sedan,6,72214.0,153.6,226.6,2250.0,1,4,215.59599999999983,2436.75
18,Wheel Alignment,900.0,1.0,1,Sedan,6,80693.0,58.2,57.9,900.0,0,4,58.596999999999944,902.75
40,Radiator Replacement / Repair,1500.0,1.5,0,Pickup,9,140972.3,90.2,136.6,5200.0,1,2,135.34300000000007,4007.5
54,General Engine Overhaul,22000.0,24.0,0,Pickup,9,127743.8,1431.2,1768.9,23550.0,1,2,1832.0179999999975,25112.0
51,Replace Valve Cover Gasket,1200.0,1.75,0,Pickup,9,123568.5,105.0,148.7,2100.0,1,2,143.21200000000013,2055.75
45,Alternator Repair / Replacement,1800.0,1.5,0,Pickup,9,123886.3,93.7,112.3,3650.0,1,2,130.92600000000002,4125.75
36,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Pickup,9,144994.2,265.5,376.6,5425.0,1,2,367.19699999999983,5194.75
20,Tire Rotation & Balancing,800.0,0.75,1,Pickup,9,132257.6,46.8,45.9,800.0,0,2,46.051000000000016,801.5
43,Engine Diagnostics & Electrical Scan,1500.0,0.75,1,Pickup,9,117452.4,46.1,47.3,1475.0,0,2,48.07600000000006,1535.25
17,Brake Master / Wheel Cylinder Overhaul,800.0,1.5,0,Pickup,9,141846.5,88.6,140.8,1850.0,1,2,136.53499999999983,1582.0
10,Throttle Body Cleaning,550.0,0.75,1,Pickup,9,111377.3,46.0,50.1,575.0,1,2,48.86100000000001,565.25
52,Reseal Oil Pan / Crankcase,2050.0,2.0,0,Pickup,9,135037.6,117.0,136.6,3175.0,1,2,143.78700000000023,3012.25
8,Intake Manifold Cleaning & Reseal,1750.0,2.0,0,Pickup,9,143288.3,118.8,175.3,2950.0,1,2,139.38200000000018,2260.75
26,Overhaul / Replace Steering Rack & Pinion,4500.0,4.0,0,Pickup,9,116141.6,240.1,317.2,11250.0,1,2,306.9820000000004,9500.5
1,Change Oil,650.0,0.75,1,Sedan,6,100048.5,45.3,47.9,650.0,0,4,46.467,647.75
47,Electrical System & Wiring Repair,2500.0,1.5,0,Sedan,6,85956.7,90.7,92.8,2850.0,0,4,102.899,2752.25
13,Brake Service & Cleaning,800.0,1.25,1,Sedan,6,96821.4,78.2,73.6,800.0,0,4,73.83500000000008,803.25
58,General Mechanical Inspection & Check-Up,800.0,0.5,1,Sedan,6,101541.9,28.9,35.3,825.0,1,4,33.44300000000004,819.25
3,Replace Fuel Filter,550.0,0.75,1,Sedan,6,77288.0,44.3,41.6,525.0,0,4,42.78899999999998,541.25
58,General Mechanical Inspection & Check-Up,800.0,0.5,1,Sedan,6,91855.6,29.5,33.1,775.0,0,4,32.52799999999997,790.5
15,Replace Brake Shoes,800.0,1.0,1,Sedan,6,80773.1,59.7,59.7,800.0,0,4,58.26200000000004,803.0
1,Change Oil,650.0,0.75,1,Hatchback,12,168367.7,46.9,51.9,625.0,1,1,49.975000000000016,630.25
13,Brake Service & Cleaning,800.0,1.25,1,Hatchback,12,169518.9,76.2,76.1,775.0,1,1,76.50500000000014,787.0
36,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Hatchback,12,156056.1,270.1,358.8,3750.0,1,1,363.98900000000003,4046.0
1,Change Oil,650.0,0.75,1,Sedan,6,87727.8,46.8,45.6,650.0,0,4,45.627999999999986,648.0
13,Brake Service & Cleaning,800.0,1.25,1,Sedan,6,74014.1,75.5,85.4,725.0,0,4,81.55699999999993,754.5
10,Throttle Body Cleaning,550.0,0.75,1,Sedan,6,82788.2,45.3,45.0,550.0,0,4,45.87100000000001,551.0
56,Power Window Repair / Motor Replacement,1000.0,1.25,0,Sedan,6,99982.4,74.0,104.7,650.0,0,4,99.71200000000003,869.25
9,Cleaning EGR,4500.0,3.5,0,Van,9,118044.5,202.8,309.5,10675.0,1,5,237.12599999999992,5713.5
54,General Engine Overhaul,22000.0,24.0,0,Van,9,106861.1,1401.3,1927.5,34625.0,1,5,1926.5629999999996,34443.0
58,General Mechanical Inspection & Check-Up,800.0,0.5,1,Van,9,117913.3,29.2,29.2,800.0,0,5,29.81199999999998,794.25
35,Power Steering Pump Overhaul / Replacement,1800.0,2.0,0,Van,9,140125.7,124.0,205.1,2800.0,1,5,181.68600000000006,2882.0
1,Change Oil,650.0,0.75,1,Van,9,114190.4,46.8,49.0,625.0,0,5,48.20399999999999,634.5
3,Replace Fuel Filter,550.0,0.75,1,Van,9,129776.0,46.4,42.7,525.0,0,5,44.48699999999995,530.0
51,Replace Valve Cover Gasket,1200.0,1.75,0,Van,9,124342.8,102.6,115.7,3125.0,1,5,139.583,1811.25
36,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Sedan,6,85918.8,264.5,380.9,5750.0,1,4,367.05700000000047,5659.75
24,Replace Rack End,900.0,1.25,1,Sedan,6,91724.3,71.4,74.6,850.0,0,4,72.97700000000007,877.0
18,Wheel Alignment,900.0,1.0,1,Sedan,6,85556.0,57.8,53.0,900.0,0,4,59.50800000000001,896.75
53,Top Overhaul,15000.0,14.0,0,Hatchback,6,73774.5,874.8,1137.6,7950.0,0,1,1075.154000000001,12904.25
54,General Engine Overhaul,22000.0,24.0,0,Hatchback,6,80781.6,1461.8,1725.9,24850.0,1,1,1774.619000000002,30987.0
1,Change Oil,650.0,0.75,1,SUV,6,69043.4,46.8,48.7,675.0,0,3,46.553999999999945,664.75
13,Brake Service & Cleaning,800.0,1.25,1,SUV,6,90057.9,72.6,73.1,825.0,0,3,75.22900000000007,813.75
4,Replace Air Filter,550.0,0.25,1,SUV,6,82941.3,14.3,15.2,550.0,0,3,15.443000000000014,554.0
9,Cleaning EGR,4500.0,3.5,0,SUV,6,76828.1,204.7,202.8,4250.0,0,3,216.9569999999998,5209.0
58,General Mechanical Inspection & Check-Up,800.0,0.5,1,SUV,6,84883.7,29.4,27.8,875.0,0,3,31.292999999999964,805.5
23,Replace Tie Rod End,800.0,1.0,1,Sedan,6,95106.9,61.4,65.6,775.0,0,4,64.94700000000003,777.75
22,Replace Suspension Bushing,1500.0,2.5,0,Sedan,6,74687.0,151.5,223.0,850.0,0,4,203.4299999999998,1559.75
31,Replace Wheel Bearing,1350.0,1.5,1,Sedan,6,70535.1,92.1,108.5,1350.0,0,4,104.19200000000005,1356.0
18,Wheel Alignment,900.0,1.0,1,Sedan,6,80639.1,61.9,66.3,925.0,0,4,64.95500000000007,913.0
53,Top Overhaul,15000.0,14.0,0,Sedan,6,81204.5,828.3,851.2,18850.0,1,4,1003.2219999999993,23907.25
26,Overhaul / Replace Steering Rack & Pinion,4500.0,4.0,0,Sedan,10,148024.3,245.6,365.8,7125.0,1,4,344.3870000000001,6342.0
26,Overhaul / Replace Steering Rack & Pinion,4500.0,4.0,0,Sedan,10,153730.6,234.0,260.6,5000.0,1,4,272.86299999999966,5088.25
47,Electrical System & Wiring Repair,2500.0,1.5,0,Sedan,10,166779.5,85.9,125.9,8150.0,1,4,123.98999999999985,6415.25
18,Wheel Alignment,900.0,1.0,1,Sedan,10,129606.3,62.5,66.0,900.0,1,4,66.487,898.5
43,Engine Diagnostics & Electrical Scan,1500.0,0.75,1,Sedan,10,166117.8,44.9,45.9,1500.0,0,4,46.53300000000001,1536.5
13,Brake Service & Cleaning,800.0,1.25,1,Sedan,10,138539.9,71.5,64.9,800.0,0,4,69.66499999999988,793.0
58,General Mechanical Inspection & Check-Up,800.0,0.5,1,Sedan,6,70894.0,30.6,34.3,775.0,0,4,34.107000000000035,785.5
1,Change Oil,650.0,0.75,1,Sedan,6,72667.3,45.2,43.8,675.0,0,4,43.92400000000007,670.75
13,Brake Service & Cleaning,800.0,1.25,1,Sedan,6,93539.1,75.9,77.9,825.0,0,4,79.78999999999995,813.25
51,Replace Valve Cover Gasket,1200.0,1.75,0,Sedan,6,99921.8,110.2,163.7,1150.0,1,4,129.42499999999995,1781.5
21,Replace Shock Absorbers,1200.0,2.0,1,Sedan,6,82884.7,121.5,119.6,1250.0,0,4,121.73800000000014,1227.5
1,Change Oil,650.0,0.75,1,Sedan,6,86701.1,43.8,43.6,625.0,0,4,44.58499999999997,638.25
13,Brake Service & Cleaning,800.0,1.25,1,Sedan,6,77745.7,73.0,74.3,800.0,0,4,75.9580000000001,804.75
23,Replace Tie Rod End,800.0,1.0,1,Sedan,6,85059.3,58.3,58.7,775.0,0,4,59.55099999999994,790.0
22,Replace Suspension Bushing,1500.0,2.5,0,Sedan,6,100380.4,149.5,158.9,3050.0,1,4,166.18099999999984,2483.5
22,Replace Suspension Bushing,1500.0,2.5,0,Sedan,12,189587.8,156.6,260.0,3275.0,1,4,217.4279999999998,1815.0
31,Replace Wheel Bearing,1350.0,1.5,1,Sedan,12,166607.8,87.1,84.5,1325.0,1,4,85.64300000000004,1341.5
21,Replace Shock Absorbers,1200.0,2.0,1,Sedan,8,120498.3,114.7,113.6,1150.0,0,4,115.14000000000006,1196.75
22,Replace Suspension Bushing,1500.0,2.5,0,Sedan,8,124311.9,144.8,177.7,2300.0,1,4,181.46600000000018,2238.75
23,Replace Tie Rod End,800.0,1.0,1,Sedan,8,105142.8,60.6,57.7,800.0,0,4,58.033999999999935,795.5
18,Wheel Alignment,900.0,1.0,1,Sedan,8,122531.5,57.8,60.3,900.0,0,4,56.09399999999999,930.75
24,Replace Rack End,900.0,1.25,1,Sedan,15,221475.7,71.9,63.3,875.0,1,4,67.11000000000008,888.75
22,Replace Suspension Bushing,1500.0,2.5,0,Sedan,15,199989.7,149.9,217.3,2200.0,1,4,227.5099999999997,2327.25
21,Replace Shock Absorbers,1200.0,2.0,1,Sedan,15,232509.3,119.8,133.8,1200.0,1,4,129.6729999999999,1198.0
27,Replace Stabilizer Link,700.0,0.75,1,Sedan,15,204682.8,45.3,48.3,700.0,1,4,47.31000000000004,698.25
18,Wheel Alignment,900.0,1.0,1,Sedan,15,231405.4,62.1,65.4,925.0,1,4,65.27499999999993,918.0
36,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Sedan,6,96155.4,274.9,416.2,5475.0,1,4,391.8079999999998,5433.75
1,Change Oil,650.0,0.75,1,Hatchback,12,158064.4,46.7,46.3,625.0,1,1,47.110000000000056,636.75
15,Replace Brake Shoes,800.0,1.0,1,Hatchback,12,176778.3,61.9,63.3,825.0,1,1,62.440000000000076,820.75
16,Rotor Disc Refacing / Resurfacing,2500.0,2.0,1,Hatchback,12,143038.0,121.4,124.1,2500.0,1,1,123.07999999999997,2550.75
