service_id,service_name,base_price,base_duration_hours,is_price_fixed,vehicle_type,vehicle_age,mileage,estimated_duration_mins,actual_duration_mins,actual_amount,is_churned,vehicle_type_encoded,predicted_duration_mins
4,Wheel Alignment,800.0,1.0,1,Sedan,6,100497.5,59.6,64.7,825.0,0,4,61.679999999999936
2,Brake Service,800.0,1.25,1,Sedan,6,81208.2,75.0,73.4,1575.0,1,4,74.88999999999992
2,Brake Service,800.0,1.25,1,Sedan,6,93552.2,71.3,74.6,500.0,0,4,70.06800000000001
1,Change Oil,650.0,0.75,1,Sedan,6,97269.3,45.6,40.0,625.0,0,4,42.840999999999994
17,Replace Shock Absorbers,1500.0,2.0,1,Sedan,6,83630.7,123.0,131.6,1550.0,0,4,129.69200000000018
2,Brake Service,800.0,1.25,1,Sedan,25,310548.1,71.7,61.1,875.0,1,4,74.83099999999996
2,Brake Service,800.0,1.25,1,Sedan,25,388332.3,72.1,75.9,475.0,1,4,75.48299999999993
2,Brake Service,800.0,1.25,1,Sedan,25,358136.4,71.9,70.8,800.0,1,4,71.60600000000005
1,Change Oil,650.0,0.75,1,Sedan,6,95905.8,43.1,39.0,750.0,0,4,39.70000000000002
2,Brake Service,800.0,1.25,1,Sedan,6,98821.4,78.6,76.0,850.0,0,4,76.01399999999995
9,Replace Fuel Filter,550.0,0.75,1,Sedan,6,79106.9,45.3,49.3,650.0,1,4,47.84000000000005
2,Brake Service,800.0,1.25,1,Sedan,6,76072.9,71.3,68.8,4500.0,1,4,68.80900000000005
17,Replace Shock Absorbers,1500.0,2.0,1,Sedan,7,83854.7,121.8,129.3,1300.0,0,4,128.05499999999995
2,Brake Service,800.0,1.25,1,Sedan,7,110814.1,73.4,72.9,625.0,0,4,73.70299999999995
2,Brake Service,800.0,1.25,1,Sedan,6,90275.3,78.5,81.5,400.0,0,4,82.10899999999998
2,Brake Service,800.0,1.25,1,Sedan,6,75971.2,78.5,94.4,400.0,0,4,89.07699999999988
2,Brake Service,800.0,1.25,1,Sedan,6,89607.0,76.0,82.8,400.0,0,4,78.65000000000008
8,Change ATF / Transmission Fluid Flush,650.0,0.75,1,Sedan,6,71743.2,47.0,47.5,425.0,0,4,47.87499999999999
8,Change ATF / Transmission Fluid Flush,650.0,0.75,1,Sedan,6,85489.1,43.6,37.1,400.0,0,4,40.371999999999964
8,Change ATF / Transmission Fluid Flush,650.0,0.75,1,Sedan,21,297037.7,47.1,40.8,4575.0,1,4,41.74400000000004
1,Change Oil,650.0,0.75,1,Sedan,6,95432.6,43.5,39.8,700.0,0,4,41.18100000000007
12,Replace Suspension Bushing,1500.0,2.5,0,Sedan,6,100644.3,143.2,179.3,1525.0,1,4,179.07499999999973
2,Brake Service,800.0,1.25,1,Sedan,6,99287.9,72.4,63.9,3100.0,1,4,74.42999999999995
10,Replace Valve Cover Gasket,1400.0,1.75,0,Sedan,6,101225.5,108.6,89.5,750.0,0,4,103.819
11,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Sedan,6,74294.7,279.8,354.3,2100.0,0,4,356.5329999999999
2,Brake Service,800.0,1.25,1,Sedan,6,97737.7,77.6,77.2,925.0,0,4,75.36800000000005
4,Wheel Alignment,800.0,1.0,1,Sedan,6,82502.5,60.6,65.3,1125.0,1,4,64.10800000000006
13,Replace Tie Rod / Rack End,1000.0,1.5,1,Sedan,6,86491.2,86.5,89.9,1650.0,1,4,90.75099999999989
11,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Sedan,15,228101.2,279.5,534.9,4400.0,1,4,510.51000000000056
9,Replace Fuel Filter,550.0,0.75,1,Sedan,6,93285.0,43.4,49.4,625.0,1,4,46.78600000000003
2,Brake Service,800.0,1.25,1,Sedan,6,73884.0,71.4,78.9,550.0,0,4,75.83699999999993
1,Change Oil,650.0,0.75,1,Sedan,6,82101.0,46.8,48.5,1325.0,1,4,47.479000000000006
2,Brake Service,800.0,1.25,1,Sedan,6,90962.7,75.9,67.1,4500.0,1,4,70.41000000000007
2,Brake Service,800.0,1.25,1,Sedan,6,90759.7,74.9,83.1,2325.0,1,4,80.41000000000007
2,Brake Service,800.0,1.25,1,Sedan,5,60789.1,72.2,75.8,1425.0,1,4,76.26400000000011
1,Change Oil,650.0,0.75,1,Sedan,6,75858.8,46.8,55.4,3925.0,1,4,52.29999999999999
2,Brake Service,800.0,1.25,1,Sedan,6,73635.4,71.6,70.0,1725.0,1,4,70.68799999999997
14,Rotor Disc Refacing,3000.0,2.0,1,Sedan,6,72401.4,115.4,104.5,3950.0,0,4,108.43
2,Brake Service,800.0,1.25,1,Sedan,6,82286.9,76.4,73.7,900.0,0,4,79.19299999999997
11,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Van,12,192903.1,258.1,413.9,2725.0,1,5,400.1130000000004
10,Replace Valve Cover Gasket,1400.0,1.75,0,Sedan,6,87357.0,101.9,123.9,925.0,0,4,115.78599999999993
4,Wheel Alignment,800.0,1.0,1,Sedan,6,86634.0,59.8,65.1,2850.0,1,4,63.81600000000001
13,Replace Tie Rod / Rack End,1000.0,1.5,1,Sedan,6,95136.8,90.3,91.2,475.0,0,4,89.95599999999999
4,Wheel Alignment,800.0,1.0,1,Sedan,6,82934.9,58.6,58.9,900.0,0,4,58.36199999999999
11,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Sedan,1,11037.1,265.3,375.3,5200.0,1,4,350.24399999999974
11,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Sedan,6,92419.9,258.8,438.0,4100.0,1,4,410.059
12,Replace Suspension Bushing,1500.0,2.5,0,Sedan,6,90502.1,144.4,159.9,1050.0,0,4,169.64399999999986
2,Brake Service,800.0,1.25,1,Sedan,6,89922.1,73.9,75.5,500.0,0,4,76.12700000000001
10,Replace Valve Cover Gasket,1400.0,1.75,0,Sedan,6,74016.6,101.4,116.4,850.0,0,4,115.49199999999982
1,Change Oil,650.0,0.75,1,SUV,16,202646.5,43.5,35.7,1650.0,1,3,39.97699999999997
2,Brake Service,800.0,1.25,1,SUV,16,251328.7,74.2,72.3,2075.0,1,3,73.50000000000011
17,Replace Shock Absorbers,1500.0,2.0,1,SUV,16,206629.2,125.2,148.2,1950.0,1,3,138.4200000000001
2,Brake Service,800.0,1.25,1,SUV,16,214922.1,72.7,69.7,1100.0,1,3,72.17399999999992
18,Replace Engine Support,1200.0,1.5,0,SUV,16,222638.4,86.5,112.4,4000.0,1,3,126.90100000000002
2,Brake Service,800.0,1.25,1,SUV,16,226206.0,74.9,72.5,1500.0,1,3,73.86800000000001
2,Brake Service,800.0,1.25,1,Sedan,6,76825.9,71.7,69.7,525.0,0,4,69.54199999999993
2,Brake Service,800.0,1.25,1,Sedan,6,93239.0,75.7,62.2,1450.0,1,4,66.62099999999992
13,Replace Tie Rod / Rack End,1000.0,1.5,1,Sedan,6,87456.7,93.0,96.1,3525.0,1,4,96.0990000000001
13,Replace Tie Rod / Rack End,1000.0,1.5,1,Sedan,6,72214.0,92.2,102.7,4550.0,1,4,99.48299999999999
4,Wheel Alignment,800.0,1.0,1,Sedan,6,80693.0,58.2,57.9,875.0,0,4,58.039999999999964
2,Brake Service,800.0,1.25,1,Pickup,9,140972.3,75.2,81.9,3450.0,1,2,80.72799999999992
2,Brake Service,800.0,1.25,1,Pickup,9,127743.8,74.5,72.0,7550.0,1,2,73.44100000000003
10,Replace Valve Cover Gasket,1400.0,1.75,0,Pickup,9,123568.5,105.0,148.7,1525.0,1,2,145.24300000000017
6,Replace Fan Belt,800.0,1.0,1,Pickup,9,123886.3,62.4,59.2,3050.0,1,2,60.89299999999997
11,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Pickup,9,144994.2,265.5,376.6,12000.0,1,2,357.00600000000026
3,Tire Rotation & Balance,800.0,0.5,1,Pickup,9,132257.6,31.2,30.6,1225.0,1,2,32.35399999999995
2,Brake Service,800.0,1.25,1,Pickup,9,117452.4,76.8,78.8,3425.0,1,2,78.78700000000006
2,Brake Service,800.0,1.25,1,Pickup,9,141846.5,73.8,82.9,1175.0,1,2,81.0489999999999
1,Change Oil,650.0,0.75,1,Pickup,9,111377.3,46.0,50.1,850.0,1,2,49.21
1,Change Oil,650.0,0.75,1,Pickup,9,135037.6,43.9,41.1,2725.0,1,2,42.57099999999997
1,Change Oil,650.0,0.75,1,Pickup,9,143288.3,44.6,47.8,2000.0,1,2,46.10199999999997
2,Brake Service,800.0,1.25,1,Pickup,9,116141.6,75.0,75.3,8525.0,1,2,75.1900000000001
1,Change Oil,650.0,0.75,1,Sedan,6,100048.5,45.3,47.9,800.0,1,4,46.92899999999999
2,Brake Service,800.0,1.25,1,Sedan,6,85956.7,75.6,69.0,2725.0,1,4,72.54900000000004
2,Brake Service,800.0,1.25,1,Sedan,6,96821.4,78.2,73.6,800.0,0,4,74.57000000000006
2,Brake Service,800.0,1.25,1,Sedan,6,101541.9,72.2,88.3,350.0,0,4,83.9360000000001
9,Replace Fuel Filter,550.0,0.75,1,Sedan,6,77288.0,44.3,41.6,500.0,0,4,43.49499999999999
2,Brake Service,800.0,1.25,1,Sedan,6,91855.6,73.8,82.8,675.0,0,4,80.39800000000008
2,Brake Service,800.0,1.25,1,Sedan,6,80773.1,74.6,74.6,800.0,0,4,72.14399999999995
1,Change Oil,650.0,0.75,1,Hatchback,12,168367.7,46.9,51.9,550.0,1,1,49.553000000000004
2,Brake Service,800.0,1.25,1,Hatchback,12,169518.9,76.2,76.1,750.0,0,1,76.78100000000009
11,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Hatchback,12,156056.1,270.1,358.8,3000.0,1,1,352.1389999999998
1,Change Oil,650.0,0.75,1,Sedan,6,87727.8,46.8,45.6,575.0,0,4,46.468999999999994
2,Brake Service,800.0,1.25,1,Sedan,6,74014.1,75.5,85.4,700.0,0,4,82.84799999999994
2,Brake Service,800.0,1.25,1,Sedan,6,82788.2,75.4,74.8,550.0,0,4,75.28200000000008
1,Change Oil,650.0,0.75,1,Sedan,6,99982.4,44.4,48.2,475.0,0,4,47.101999999999954
2,Brake Service,800.0,1.25,1,Van,9,118044.5,72.4,79.3,6925.0,1,5,74.18700000000007
2,Brake Service,800.0,1.25,1,Van,9,106861.1,73.0,75.0,3475.0,1,5,74.16699999999999
10,Replace Valve Cover Gasket,1400.0,1.75,0,Van,9,117913.3,102.3,134.5,500.0,0,5,135.399
2,Brake Service,800.0,1.25,1,Van,9,140125.7,77.5,89.3,1700.0,1,5,86.55900000000003
1,Change Oil,650.0,0.75,1,Van,9,114190.4,46.8,49.0,750.0,1,5,49.16199999999999
9,Replace Fuel Filter,550.0,0.75,1,Van,9,129776.0,46.4,42.7,525.0,0,5,45.28199999999995
10,Replace Valve Cover Gasket,1400.0,1.75,0,Van,9,124342.8,102.6,115.7,3150.0,1,5,137.22999999999993
2,Brake Service,800.0,1.25,1,Sedan,6,85918.8,73.5,80.7,4000.0,1,4,78.45599999999995
13,Replace Tie Rod / Rack End,1000.0,1.5,1,Sedan,6,91724.3,85.7,89.5,1475.0,1,4,87.86599999999999
4,Wheel Alignment,800.0,1.0,1,Sedan,6,85556.0,57.8,53.0,900.0,0,4,55.81400000000001
2,Brake Service,800.0,1.25,1,Hatchback,6,73774.5,78.1,80.9,6175.0,1,1,79.66599999999995
2,Brake Service,800.0,1.25,1,Hatchback,6,80781.6,76.1,74.8,1550.0,1,1,76.16300000000004
1,Change Oil,650.0,0.75,1,SUV,6,69043.4,46.8,48.7,850.0,1,3,48.277999999999956
2,Brake Service,800.0,1.25,1,SUV,6,90057.9,72.6,73.1,1250.0,1,3,73.803
9,Replace Fuel Filter,550.0,0.75,1,SUV,6,82941.3,43.0,45.6,525.0,0,3,44.864
2,Brake Service,800.0,1.25,1,SUV,6,76828.1,73.1,65.6,4325.0,1,3,69.1220000000001
10,Replace Valve Cover Gasket,1400.0,1.75,0,SUV,6,84883.7,102.9,112.6,675.0,0,3,128.79800000000006
13,Replace Tie Rod / Rack End,1000.0,1.5,1,Sedan,6,95106.9,92.1,98.4,750.0,0,4,97.86299999999987
2,Brake Service,800.0,1.25,1,Sedan,6,74687.0,75.7,84.2,575.0,0,4,81.13800000000003
3,Tire Rotation & Balance,800.0,0.5,1,Sedan,6,70535.1,30.7,36.2,600.0,0,4,34.68899999999997
3,Tire Rotation & Balance,800.0,0.5,1,Sedan,6,80639.1,31.0,33.2,950.0,1,4,33.38399999999997
2,Brake Service,800.0,1.25,1,Sedan,6,81204.5,74.0,67.7,1775.0,1,4,74.01500000000001
1,Change Oil,650.0,0.75,1,Sedan,10,148024.3,46.0,49.0,675.0,1,4,46.22599999999998
11,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Sedan,10,153730.6,263.2,293.2,12525.0,1,4,322.47100000000023
2,Brake Service,800.0,1.25,1,Sedan,10,166779.5,71.5,75.4,5550.0,1,4,73.3059999999999
4,Wheel Alignment,800.0,1.0,1,Sedan,10,129606.3,62.5,66.0,2975.0,1,4,65.10499999999998
5,Engine Diagnostics,1200.0,1.0,0,Sedan,10,166117.8,59.8,83.3,1575.0,1,4,83.34300000000006
2,Brake Service,800.0,1.25,1,Sedan,10,138539.9,71.5,64.9,1850.0,1,4,68.91799999999994
2,Brake Service,800.0,1.25,1,Sedan,6,70894.0,76.5,85.7,1725.0,1,4,81.84499999999989
1,Change Oil,650.0,0.75,1,Sedan,6,72667.3,45.2,43.8,625.0,0,4,44.53900000000007
2,Brake Service,800.0,1.25,1,Sedan,6,93539.1,75.9,77.9,850.0,0,4,74.40799999999993
10,Replace Valve Cover Gasket,1400.0,1.75,0,Sedan,6,99921.8,110.2,163.7,775.0,0,4,117.40899999999998
17,Replace Shock Absorbers,1500.0,2.0,1,Sedan,6,82884.7,121.5,119.6,1275.0,0,4,123.26800000000014
1,Change Oil,650.0,0.75,1,Sedan,6,86701.1,43.8,43.6,775.0,0,4,45.06299999999998
2,Brake Service,800.0,1.25,1,Sedan,6,77745.7,73.0,74.3,800.0,0,4,76.70300000000012
13,Replace Tie Rod / Rack End,1000.0,1.5,1,Sedan,6,85059.3,87.5,88.1,1450.0,1,4,90.04500000000012
12,Replace Suspension Bushing,1500.0,2.5,0,Sedan,6,100380.4,149.5,158.9,3075.0,1,4,164.31699999999978
13,Replace Tie Rod / Rack End,1000.0,1.5,1,Sedan,12,189587.8,94.0,104.7,8100.0,1,4,97.55599999999998
2,Brake Service,800.0,1.25,1,Sedan,12,166607.8,72.6,70.4,2425.0,1,4,71.95299999999989
17,Replace Shock Absorbers,1500.0,2.0,1,Sedan,8,120498.3,114.7,113.6,1500.0,0,4,116.20799999999997
2,Brake Service,800.0,1.25,1,Sedan,8,124311.9,72.4,70.6,1850.0,1,4,71.50300000000007
13,Replace Tie Rod / Rack End,1000.0,1.5,1,Sedan,8,105142.8,90.8,86.5,1500.0,1,4,88.275
4,Wheel Alignment,800.0,1.0,1,Sedan,8,122531.5,57.8,60.3,2850.0,1,4,58.349000000000025
4,Wheel Alignment,800.0,1.0,1,Sedan,15,221475.7,57.5,50.6,9375.0,1,4,53.16800000000003
12,Replace Suspension Bushing,1500.0,2.5,0,Sedan,15,199989.7,149.9,217.3,1625.0,1,4,223.1599999999997
17,Replace Shock Absorbers,1500.0,2.0,1,Sedan,15,232509.3,119.8,133.8,1525.0,1,4,130.62099999999984
2,Brake Service,800.0,1.25,1,Sedan,15,204682.8,75.5,80.5,600.0,1,4,80.48900000000002
4,Wheel Alignment,800.0,1.0,1,Sedan,15,231405.4,62.1,65.4,2600.0,1,4,64.20699999999995
11,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Sedan,6,96155.4,274.9,416.2,13525.0,1,4,392.62399999999997
1,Change Oil,650.0,0.75,1,Hatchback,12,158064.4,46.7,46.3,575.0,0,1,46.43900000000006
2,Brake Service,800.0,1.25,1,Hatchback,12,176778.3,77.4,79.1,850.0,1,1,78.75700000000009
14,Rotor Disc Refacing,3000.0,2.0,1,Hatchback,12,143038.0,121.4,124.1,1200.0,0,1,123.75699999999999
2,Brake Service,800.0,1.25,1,Hatchback,12,159712.6,75.3,75.0,1225.0,1,1,75.541
17,Replace Shock Absorbers,1500.0,2.0,1,Hatchback,12,182565.8,125.6,140.3,1125.0,0,1,137.3330000000001
11,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Sedan,17,263710.5,281.8,429.5,4825.0,1,4,484.71299999999997
10,Replace Valve Cover Gasket,1400.0,1.75,0,Sedan,17,228671.8,100.5,128.5,1750.0,1,4,152.70200000000014
1,Change Oil,650.0,0.75,1,Sedan,17,241816.9,46.7,45.5,2550.0,1,4,45.107
1,Change Oil,650.0,0.75,1,Sedan,17,250881.5,42.8,43.2,325.0,0,4,43.449999999999946
1,Change Oil,650.0,0.75,1,Sedan,17,260270.5,44.8,40.5,1325.0,1,4,43.11199999999999
1,Change Oil,650.0,0.75,1,Sedan,6,81259.5,45.9,50.9,26650.0,1,4,49.905999999999985
1,Change Oil,650.0,0.75,1,Sedan,6,85919.5,43.4,46.5,450.0,0,4,46.06799999999999
1,Change Oil,650.0,0.75,1,Sedan,6,85374.3,44.5,48.6,350.0,0,4,46.01699999999996
2,Brake Service,800.0,1.25,1,SUV,6,75289.3,71.5,65.8,8050.0,1,3,67.81900000000005
1,Change Oil,650.0,0.75,1,SUV,6,93896.3,47.1,49.1,800.0,1,3,49.39100000000001
9,Replace Fuel Filter,550.0,0.75,1,SUV,6,95660.3,46.6,49.9,1275.0,1,3,48.38199999999999
2,Brake Service,800.0,1.25,1,SUV,6,70572.7,78.2,87.6,1650.0,1,3,84.97100000000007
9,Replace Fuel Filter,550.0,0.75,1,SUV,6,80081.5,43.3,41.8,875.0,1,3,42.805000000000035
2,Brake Service,800.0,1.25,1,SUV,6,78203.3,71.7,64.0,525.0,0,3,66.528
11,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Van,6,90176.1,268.8,318.2,4925.0,1,5,335.74500000000023
4,Wheel Alignment,800.0,1.0,1,Crossover,8,113992.3,61.2,64.2,925.0,1,0,62.64499999999991
13,Replace Tie Rod / Rack End,1000.0,1.5,1,Crossover,8,98514.4,86.4,88.1,1125.0,1,0,88.76700000000011
2,Brake Service,800.0,1.25,1,Crossover,8,119913.0,75.4,71.6,800.0,0,0,73.15900000000006
1,Change Oil,650.0,0.75,1,Crossover,8,102651.7,43.1,40.5,800.0,1,0,44.424
2,Brake Service,800.0,1.25,1,Crossover,8,118124.4,77.3,75.8,1175.0,1,0,76.84400000000008
1,Change Oil,650.0,0.75,1,Sedan,6,77783.2,45.9,47.0,3375.0,1,4,47.794999999999966
13,Replace Tie Rod / Rack End,1000.0,1.5,1,Hatchback,9,139848.8,91.9,89.5,1050.0,0,1,91.61400000000002
2,Brake Service,800.0,1.25,1,Hatchback,9,133375.2,78.0,87.8,800.0,1,1,78.90299999999998
2,Brake Service,800.0,1.25,1,Hatchback,9,127650.0,75.2,74.5,800.0,0,1,76.087
17,Replace Shock Absorbers,1500.0,2.0,1,Hatchback,9,108385.0,115.9,115.2,825.0,0,1,118.95
14,Rotor Disc Refacing,3000.0,2.0,1,Hatchback,9,142510.8,116.2,124.3,1575.0,0,1,121.369
1,Change Oil,650.0,0.75,1,Sedan,6,86176.4,46.0,47.1,800.0,1,4,47.50099999999998
2,Brake Service,800.0,1.25,1,Sedan,6,80632.0,71.8,79.5,800.0,0,4,75.86099999999999
