id,vehicle_catalog_id,part_catalog_id,notes
253,103,78,
254,103,178,Requires professional installation
255,104,25,
256,104,27,
257,104,122,Direct fit
258,104,129,Requires professional installation
259,105,36,
260,105,76,
261,106,80,For automatic transmissions only
262,106,123,For automatic transmissions only
263,106,123,
264,106,153,
265,107,47,
266,108,38,
267,108,71,
268,109,2,
269,109,38,Front driver and passenger side
270,109,79,
271,109,93,
272,109,135,
273,109,197,Requires professional installation
274,111,61,
275,112,29,Verify VIN before installation
276,112,58,
277,112,91,
278,113,99,Front driver and passenger side
279,113,137,
280,113,149,Verify VIN before installation
281,114,1,Verify VIN before installation
282,114,93,
283,115,16,
284,115,35,
285,115,50,
286,115,124,
287,116,19,Requires professional installation
288,116,96,
289,116,148,
290,117,22,
291,117,42,
292,117,144,
293,117,183,
294,117,194,
295,118,77,For automatic transmissions only
296,118,188,
297,119,36,
298,119,66,Requires professional installation
299,120,126,Direct fit
300,120,174,
301,120,195,
302,121,8,
303,121,15,For automatic transmissions only
304,121,30,
305,121,42,
306,122,81,
307,123,77,
308,124,58,
309,124,69,Front driver and passenger side
310,124,191,Requires professional installation
311,125,155,Front driver and passenger side
312,125,172,Front driver and passenger side
313,126,23,
314,126,52,
315,126,97,
316,127,118,
317,128,18,Front driver and passenger side
318,128,33,
319,128,191,
320,129,87,
321,129,109,Front driver and passenger side
322,130,112,
323,130,122,Requires professional installation
324,130,132,
325,131,55,
326,131,121,Verify VIN before installation
327,131,163,
328,131,164,Direct fit
329,132,25,
330,132,85,
331,132,91,Requires professional installation
332,133,34,Requires professional installation
333,133,37,
334,133,38,
335,133,46,Direct fit
336,134,62,
337,134,99,
338,134,135,
339,134,196,
340,135,140,Front driver and passenger side
341,135,148,
342,135,161,
343,136,42,
344,136,76,
345,136,79,Direct fit
346,136,88,Front driver and passenger side
347,136,124,
348,137,21,
349,137,40,Requires professional installation
350,137,60,Requires professional installation
351,137,181,
352,138,64,
353,139,29,
354,139,74,
355,140,73,Requires professional installation
356,140,81,
357,140,99,
358,140,136,
359,141,166,
360,142,25,Front driver and passenger side
361,142,94,Direct fit
362,142,124,Front driver and passenger side
363,143,33,
364,144,97,
365,145,28,
366,145,118,
367,146,127,
368,147,14,Front driver and passenger side
369,147,22,
370,147,70,
371,147,132,Requires professional installation
372,148,27,
373,148,99,
374,149,26,
375,149,185,
376,151,37,
377,151,64,Verify VIN before installation
378,151,178,
379,152,76,Requires professional installation
380,152,117,Front driver and passenger side
381,152,145,
382,152,146,Front driver and passenger side
383,153,65,Requires professional installation
384,153,78,Requires professional installation
385,153,199,
386,154,30,
387,154,82,
388,154,151,
389,155,36,Verify VIN before installation
390,156,24,
391,156,60,
392,156,156,
393,157,158,Front driver and passenger side
394,158,111,
395,159,51,
396,159,71,
397,159,96,
398,159,139,
399,160,86,
400,162,16,
401,162,28,
402,162,46,Requires professional installation
403,162,86,
404,162,127,
405,164,31,
406,164,85,
407,164,92,
408,164,113,
409,164,136,
410,165,152,
411,166,13,
412,166,142,
413,166,178,Requires professional installation
414,167,16,
415,167,39,
416,167,129,
417,167,146,
418,167,158,For automatic transmissions only
419,167,198,
420,168,60,
421,169,33,
422,169,58,
423,169,87,Direct fit
424,169,194,Requires professional installation
425,170,23,Front driver and passenger side
426,170,74,
427,171,70,
428,171,130,
429,171,177,
430,172,8,
431,172,23,
432,172,135,
433,173,42,For automatic transmissions only
434,173,85,For automatic transmissions only
435,173,88,
436,173,135,
437,174,159,
438,176,18,
439,177,46,
440,177,177,
441,178,59,
442,178,135,
443,178,139,
444,178,164,Front driver and passenger side
445,179,64,
446,179,107,
447,179,139,Requires professional installation
448,180,76,
449,181,88,Verify VIN before installation
450,181,139,Verify VIN before installation
451,182,20,
452,182,32,
453,182,194,Front driver and passenger side
454,183,1,Front driver and passenger side
455,183,71,
456,184,73,For automatic transmissions only
457,185,16,
458,186,151,
459,186,160,
460,186,165,
461,187,16,Front driver and passenger side
462,187,34,
463,188,21,
464,188,43,
465,188,57,
466,188,143,For automatic transmissions only
467,188,161,
468,188,178,Direct fit
469,189,74,
470,189,196,
471,190,169,
472,191,54,
473,191,113,
474,191,180,Requires professional installation
475,192,3,
476,192,39,
477,192,129,
478,193,22,
479,193,173,
480,193,176,
481,193,182,
482,194,162,Front driver and passenger side
483,194,164,Front driver and passenger side
484,195,7,Requires professional installation
485,195,41,
486,195,95,Requires professional installation
487,195,108,
488,195,145,
489,196,54,
490,196,105,
491,196,107,
492,196,149,
493,197,137,
494,197,156,For automatic transmissions only
495,197,184,For automatic transmissions only
496,198,15,
497,198,120,Verify VIN before installation
498,198,146,
