id,user_id,employees_id,action_performed,entity_type,entity_id,old_values,new_values,action_date
30,498,,rejected,service_tickets,2,"{""status"": ""pending""}","{""status"": ""declined""}",2026-07-11 18:37:47.293298
31,,29,updated,vehicles,224,"{""amount"": 1290.58, ""record_id"": 224}","{""amount"": 3131.78, ""record_id"": 224}",2026-07-16 22:42:55.293298
32,,176,claimed,retention_offers,188,"{""is_claimed"": false}","{""is_claimed"": true, ""claimed_on_job_order_id"": 477}",2026-08-04 00:34:00.293298
33,,399,deleted,job_orders,144,"{""id"": 144, ""is_active"": true}",,2026-07-07 10:31:55.293298
34,,244,approved,service_tickets,220,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-28 18:51:44.293298
35,,271,status_changed,job_orders,118,"{""status"": ""inspecting""}","{""status"": ""in_progress""}",2026-07-19 03:54:24.293298
36,,420,approved,service_tickets,259,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-12 16:20:52.293298
37,,197,approved,service_tickets,483,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-07 23:34:39.293298
38,499,,updated,job_orders,248,"{""amount"": 1199.81, ""record_id"": 248}","{""amount"": 1775.48, ""record_id"": 248}",2026-08-03 16:24:04.293298
39,,367,logged_in,employees,367,,,2026-07-25 16:51:37.293298
40,,446,approved,service_tickets,105,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-18 04:46:42.293298
41,,42,status_changed,job_orders,23,"{""status"": ""inspecting""}","{""status"": ""in_progress""}",2026-08-02 12:31:46.293298
42,,159,updated,vehicles,213,"{""amount"": 1186.76, ""record_id"": 213}","{""amount"": 3409.22, ""record_id"": 213}",2026-07-15 01:56:01.293298
43,,434,approved,service_tickets,302,"{""status"": ""pending""}","{""status"": ""approved""}",2026-08-03 22:13:41.293298
44,,291,created,job_orders,328,,"{""id"": 328, ""is_active"": true}",2026-07-16 11:09:08.293298
45,374,,created,users,470,,"{""id"": 470, ""is_active"": true}",2026-07-07 08:31:27.293298
46,,33,deleted,job_orders,221,"{""id"": 221, ""is_active"": true}",,2026-07-11 16:30:32.293298
47,,272,approved,service_tickets,409,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-10 08:35:42.293298
48,,310,rejected,service_tickets,227,"{""status"": ""pending""}","{""status"": ""declined""}",2026-07-22 18:44:27.293298
49,,458,created,vehicles,406,,"{""id"": 406, ""is_active"": true}",2026-07-06 22:30:38.293298
50,293,,claimed,retention_offers,386,"{""is_claimed"": false}","{""is_claimed"": true, ""claimed_on_job_order_id"": 180}",2026-07-19 02:25:29.293298
51,,139,logged_in,employees,139,,,2026-07-31 10:34:21.293298
52,174,,status_changed,job_orders,492,"{""status"": ""inspecting""}","{""status"": ""in_progress""}",2026-08-03 06:55:42.293298
53,,338,updated,payments,70,"{""amount"": 1367.33, ""record_id"": 70}","{""amount"": 2867.21, ""record_id"": 70}",2026-08-04 03:37:53.293298
54,,332,deleted,job_orders,480,"{""id"": 480, ""is_active"": true}",,2026-07-11 22:08:19.293298
55,405,,created,users,275,,"{""id"": 275, ""is_active"": true}",2026-07-12 10:01:59.293298
56,421,,status_changed,job_orders,397,"{""status"": ""inspecting""}","{""status"": ""in_progress""}",2026-07-08 22:59:55.293298
57,,238,created,vehicles,364,,"{""id"": 364, ""is_active"": true}",2026-07-24 09:10:33.293298
58,259,,deleted,vehicles,66,"{""id"": 66, ""is_active"": true}",,2026-07-09 07:56:36.293298
59,,429,deleted,users,36,"{""id"": 36, ""is_active"": true}",,2026-07-06 11:03:08.293298
60,224,,created,payments,420,,"{""id"": 420, ""is_active"": true}",2026-07-25 07:12:42.293298
61,,95,deleted,payments,324,"{""id"": 324, ""is_active"": true}",,2026-07-31 05:59:25.293298
62,,107,created,vehicles,417,,"{""id"": 417, ""is_active"": true}",2026-07-25 10:01:42.293298
63,162,,rejected,service_tickets,363,"{""status"": ""pending""}","{""status"": ""declined""}",2026-07-11 16:28:25.293298
64,,215,logged_in,employees,215,,,2026-07-16 00:34:48.293298
65,,244,updated,job_orders,403,"{""amount"": 1410.13, ""record_id"": 403}","{""amount"": 2520.97, ""record_id"": 403}",2026-07-22 22:24:28.293298
66,,211,created,users,241,,"{""id"": 241, ""is_active"": true}",2026-08-03 18:05:10.293298
67,,411,logged_in,employees,411,,,2026-07-25 12:37:08.293298
68,,85,created,vehicles,188,,"{""id"": 188, ""is_active"": true}",2026-07-08 00:19:43.293298
69,,423,status_changed,job_orders,154,"{""status"": ""inspecting""}","{""status"": ""in_progress""}",2026-07-20 19:55:09.293298
70,,201,status_changed,job_orders,300,"{""status"": ""inspecting""}","{""status"": ""in_progress""}",2026-07-14 15:04:03.293298
71,,22,updated,payments,324,"{""amount"": 1011.30, ""record_id"": 324}","{""amount"": 1971.57, ""record_id"": 324}",2026-08-04 22:02:15.293298
72,,210,claimed,retention_offers,342,"{""is_claimed"": false}","{""is_claimed"": true, ""claimed_on_job_order_id"": 281}",2026-07-14 08:19:49.293298
73,,430,created,users,212,,"{""id"": 212, ""is_active"": true}",2026-07-15 23:36:13.293298
74,,371,claimed,retention_offers,341,"{""is_claimed"": false}","{""is_claimed"": true, ""claimed_on_job_order_id"": 445}",2026-08-04 21:19:08.293298
75,347,,rejected,service_tickets,140,"{""status"": ""pending""}","{""status"": ""declined""}",2026-07-14 14:21:41.293298
76,,256,approved,service_tickets,277,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-31 00:43:25.293298
77,,286,status_changed,job_orders,68,"{""status"": ""inspecting""}","{""status"": ""in_progress""}",2026-08-04 18:14:59.293298
78,120,,status_changed,job_orders,404,"{""status"": ""inspecting""}","{""status"": ""in_progress""}",2026-07-08 06:59:02.293298
79,194,,deleted,vehicles,234,"{""id"": 234, ""is_active"": true}",,2026-07-08 20:00:10.293298
80,,46,deleted,users,311,"{""id"": 311, ""is_active"": true}",,2026-07-16 00:01:54.293298
81,,10,approved,service_tickets,491,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-06 06:32:19.293298
82,,213,claimed,retention_offers,397,"{""is_claimed"": false}","{""is_claimed"": true, ""claimed_on_job_order_id"": 100}",2026-07-19 03:01:06.293298
83,,248,deleted,users,236,"{""id"": 236, ""is_active"": true}",,2026-07-13 12:30:35.293298
84,382,,claimed,retention_offers,188,"{""is_claimed"": false}","{""is_claimed"": true, ""claimed_on_job_order_id"": 456}",2026-07-06 23:04:45.293298
85,372,,deleted,users,51,"{""id"": 51, ""is_active"": true}",,2026-08-01 07:42:48.293298
86,137,,approved,service_tickets,453,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-20 23:54:22.293298
87,,2,deleted,users,7,"{""id"": 7, ""is_active"": true}",,2026-07-31 15:20:52.293298
88,411,,status_changed,job_orders,297,"{""status"": ""inspecting""}","{""status"": ""in_progress""}",2026-07-10 04:44:49.293298
89,,404,rejected,service_tickets,355,"{""status"": ""pending""}","{""status"": ""declined""}",2026-07-18 20:32:57.293298
90,,61,updated,payments,283,"{""amount"": 1309.40, ""record_id"": 283}","{""amount"": 1621.81, ""record_id"": 283}",2026-07-06 23:59:40.293298
91,,431,updated,vehicles,129,"{""amount"": 816.64, ""record_id"": 129}","{""amount"": 3121.28, ""record_id"": 129}",2026-07-22 07:49:59.293298
92,,4,claimed,retention_offers,382,"{""is_claimed"": false}","{""is_claimed"": true, ""claimed_on_job_order_id"": 239}",2026-07-12 12:35:51.293298
93,239,,deleted,vehicles,22,"{""id"": 22, ""is_active"": true}",,2026-08-01 04:58:14.293298
94,,107,approved,service_tickets,145,"{""status"": ""pending""}","{""status"": ""approved""}",2026-08-04 22:12:20.293298
95,,34,rejected,service_tickets,419,"{""status"": ""pending""}","{""status"": ""declined""}",2026-07-15 21:35:54.293298
96,,495,deleted,vehicles,271,"{""id"": 271, ""is_active"": true}",,2026-07-26 09:36:24.293298
97,,131,claimed,retention_offers,251,"{""is_claimed"": false}","{""is_claimed"": true, ""claimed_on_job_order_id"": 329}",2026-07-22 01:24:44.293298
98,,161,updated,job_orders,191,"{""amount"": 904.56, ""record_id"": 191}","{""amount"": 3436.15, ""record_id"": 191}",2026-07-21 04:58:48.293298
99,,224,updated,job_orders,471,"{""amount"": 517.00, ""record_id"": 471}","{""amount"": 3138.58, ""record_id"": 471}",2026-07-25 18:28:01.293298
100,101,,updated,vehicles,147,"{""amount"": 840.07, ""record_id"": 147}","{""amount"": 3362.15, ""record_id"": 147}",2026-07-29 07:39:35.293298
101,,130,approved,service_tickets,365,"{""status"": ""pending""}","{""status"": ""approved""}",2026-08-03 13:48:28.293298
102,164,,created,payments,460,,"{""id"": 460, ""is_active"": true}",2026-07-20 06:29:42.293298
103,140,,rejected,service_tickets,25,"{""status"": ""pending""}","{""status"": ""declined""}",2026-07-20 19:49:51.293298
104,,296,created,job_orders,35,,"{""id"": 35, ""is_active"": true}",2026-07-20 20:48:55.293298
105,274,,deleted,payments,410,"{""id"": 410, ""is_active"": true}",,2026-07-16 15:02:41.293298
106,63,,claimed,retention_offers,157,"{""is_claimed"": false}","{""is_claimed"": true, ""claimed_on_job_order_id"": 409}",2026-07-31 11:19:19.293298
107,474,,status_changed,job_orders,191,"{""status"": ""inspecting""}","{""status"": ""in_progress""}",2026-08-03 20:18:10.293298
108,,474,logged_in,employees,474,,,2026-07-10 06:04:55.293298
109,200,,logged_in,users,200,,,2026-07-09 11:42:47.293298
110,,181,updated,job_orders,429,"{""amount"": 584.22, ""record_id"": 429}","{""amount"": 2776.35, ""record_id"": 429}",2026-07-30 16:18:02.293298
111,,112,deleted,payments,149,"{""id"": 149, ""is_active"": true}",,2026-07-24 18:58:11.293298
112,,376,logged_in,employees,376,,,2026-07-08 21:27:53.293298
113,,92,created,users,345,,"{""id"": 345, ""is_active"": true}",2026-08-05 01:16:35.293298
114,,330,claimed,retention_offers,95,"{""is_claimed"": false}","{""is_claimed"": true, ""claimed_on_job_order_id"": 140}",2026-07-22 21:12:31.293298
115,,465,approved,service_tickets,269,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-14 10:18:09.293298
116,,416,rejected,service_tickets,418,"{""status"": ""pending""}","{""status"": ""declined""}",2026-07-31 22:45:49.293298
117,,135,logged_in,employees,135,,,2026-07-12 00:42:50.293298
118,,16,deleted,payments,325,"{""id"": 325, ""is_active"": true}",,2026-08-05 00:26:15.293298
119,230,,updated,vehicles,167,"{""amount"": 1396.83, ""record_id"": 167}","{""amount"": 2431.04, ""record_id"": 167}",2026-07-18 17:02:30.293298
120,,185,claimed,retention_offers,363,"{""is_claimed"": false}","{""is_claimed"": true, ""claimed_on_job_order_id"": 220}",2026-07-31 06:53:00.293298
121,,281,logged_in,employees,281,,,2026-07-25 12:53:52.293298
122,,208,logged_in,employees,208,,,2026-07-20 02:32:34.293298
123,,229,logged_in,employees,229,,,2026-07-08 00:16:57.293298
124,,136,claimed,retention_offers,334,"{""is_claimed"": false}","{""is_claimed"": true, ""claimed_on_job_order_id"": 104}",2026-07-19 20:54:28.293298
125,230,,deleted,payments,461,"{""id"": 461, ""is_active"": true}",,2026-07-18 13:49:45.293298
126,339,,updated,vehicles,159,"{""amount"": 1192.29, ""record_id"": 159}","{""amount"": 2772.87, ""record_id"": 159}",2026-08-03 13:05:30.293298
127,194,,deleted,payments,157,"{""id"": 157, ""is_active"": true}",,2026-07-09 22:42:44.293298
128,,456,approved,service_tickets,360,"{""status"": ""pending""}","{""status"": ""approved""}",2026-08-01 02:12:52.293298
129,,175,updated,vehicles,232,"{""amount"": 965.53, ""record_id"": 232}","{""amount"": 3440.79, ""record_id"": 232}",2026-07-19 13:20:37.293298
130,,56,deleted,users,66,"{""id"": 66, ""is_active"": true}",,2026-07-27 08:16:12.293298
131,,80,created,users,181,,"{""id"": 181, ""is_active"": true}",2026-07-27 03:18:35.293298
132,,104,status_changed,job_orders,422,"{""status"": ""inspecting""}","{""status"": ""in_progress""}",2026-08-03 23:47:33.293298
133,,328,rejected,service_tickets,475,"{""status"": ""pending""}","{""status"": ""declined""}",2026-08-01 06:50:50.293298
134,,471,claimed,retention_offers,370,"{""is_claimed"": false}","{""is_claimed"": true, ""claimed_on_job_order_id"": 308}",2026-07-28 13:46:23.293298
135,44,,claimed,retention_offers,237,"{""is_claimed"": false}","{""is_claimed"": true, ""claimed_on_job_order_id"": 342}",2026-08-02 21:07:54.293298
136,192,,claimed,retention_offers,335,"{""is_claimed"": false}","{""is_claimed"": true, ""claimed_on_job_order_id"": 33}",2026-07-16 20:53:29.293298
137,,261,approved,service_tickets,163,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-25 18:00:48.293298
138,,64,approved,service_tickets,437,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-17 11:26:04.293298
139,401,,claimed,retention_offers,45,"{""is_claimed"": false}","{""is_claimed"": true, ""claimed_on_job_order_id"": 142}",2026-07-20 04:13:27.293298
140,,71,status_changed,job_orders,395,"{""status"": ""inspecting""}","{""status"": ""in_progress""}",2026-07-10 03:48:23.293298
141,,416,deleted,users,470,"{""id"": 470, ""is_active"": true}",,2026-08-02 04:32:15.293298
142,,20,logged_in,employees,20,,,2026-08-02 19:58:21.293298
143,,442,approved,service_tickets,202,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-15 09:53:27.293298
144,214,,approved,service_tickets,469,"{""status"": ""pending""}","{""status"": ""approved""}",2026-08-03 19:21:52.293298
145,105,,created,payments,213,,"{""id"": 213, ""is_active"": true}",2026-07-08 05:27:42.293298
146,,441,claimed,retention_offers,123,"{""is_claimed"": false}","{""is_claimed"": true, ""claimed_on_job_order_id"": 218}",2026-07-23 11:38:05.293298
147,420,,approved,service_tickets,268,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-17 16:48:49.293298
148,,408,claimed,retention_offers,435,"{""is_claimed"": false}","{""is_claimed"": true, ""claimed_on_job_order_id"": 26}",2026-07-27 20:48:03.293298
149,,342,logged_in,employees,342,,,2026-07-30 01:59:02.293298
150,228,,deleted,users,139,"{""id"": 139, ""is_active"": true}",,2026-08-02 23:49:42.293298
151,,479,updated,vehicles,74,"{""amount"": 923.72, ""record_id"": 74}","{""amount"": 1717.43, ""record_id"": 74}",2026-07-14 21:29:46.293298
152,,254,deleted,job_orders,258,"{""id"": 258, ""is_active"": true}",,2026-07-31 07:48:40.293298
153,,409,created,users,208,,"{""id"": 208, ""is_active"": true}",2026-07-11 05:55:15.293298
154,,377,status_changed,job_orders,343,"{""status"": ""inspecting""}","{""status"": ""in_progress""}",2026-07-12 14:36:11.293298
155,378,,approved,service_tickets,204,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-22 10:50:18.293298
156,,322,rejected,service_tickets,56,"{""status"": ""pending""}","{""status"": ""declined""}",2026-07-06 04:39:08.293298
157,,190,claimed,retention_offers,485,"{""is_claimed"": false}","{""is_claimed"": true, ""claimed_on_job_order_id"": 449}",2026-07-11 13:36:34.293298
158,,96,deleted,payments,381,"{""id"": 381, ""is_active"": true}",,2026-08-04 19:00:20.293298
159,,72,updated,job_orders,19,"{""amount"": 630.71, ""record_id"": 19}","{""amount"": 1520.87, ""record_id"": 19}",2026-07-25 02:32:36.293298
160,,412,rejected,service_tickets,61,"{""status"": ""pending""}","{""status"": ""declined""}",2026-07-15 13:34:28.293298
161,34,,status_changed,job_orders,97,"{""status"": ""inspecting""}","{""status"": ""in_progress""}",2026-07-21 07:57:39.293298
162,,264,approved,service_tickets,2,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-10 07:09:31.293298
163,,369,logged_in,employees,369,,,2026-07-16 21:35:32.293298
164,183,,rejected,service_tickets,297,"{""status"": ""pending""}","{""status"": ""declined""}",2026-07-27 14:45:52.293298
165,,132,approved,service_tickets,303,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-31 00:48:54.293298
166,393,,status_changed,job_orders,397,"{""status"": ""inspecting""}","{""status"": ""in_progress""}",2026-07-31 19:12:00.293298
167,,375,status_changed,job_orders,364,"{""status"": ""inspecting""}","{""status"": ""in_progress""}",2026-07-25 12:54:43.293298
168,274,,rejected,service_tickets,436,"{""status"": ""pending""}","{""status"": ""declined""}",2026-07-24 18:12:10.293298
169,,304,created,job_orders,254,,"{""id"": 254, ""is_active"": true}",2026-07-15 17:11:48.293298
170,,101,logged_in,employees,101,,,2026-07-13 23:03:03.293298
171,,460,logged_in,employees,460,,,2026-07-22 22:14:26.293298
172,,384,rejected,service_tickets,330,"{""status"": ""pending""}","{""status"": ""declined""}",2026-07-12 22:21:38.293298
173,,243,logged_in,employees,243,,,2026-07-23 03:57:03.293298
174,,345,claimed,retention_offers,283,"{""is_claimed"": false}","{""is_claimed"": true, ""claimed_on_job_order_id"": 437}",2026-07-27 11:15:22.293298
175,,359,logged_in,employees,359,,,2026-07-10 13:54:24.293298
176,,364,updated,payments,220,"{""amount"": 508.08, ""record_id"": 220}","{""amount"": 2247.93, ""record_id"": 220}",2026-07-14 21:00:08.293298
177,,236,status_changed,job_orders,405,"{""status"": ""inspecting""}","{""status"": ""in_progress""}",2026-08-02 05:34:39.293298
178,,169,approved,service_tickets,483,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-25 03:41:20.293298
179,,469,approved,service_tickets,382,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-12 01:28:40.293298
180,,473,rejected,service_tickets,345,"{""status"": ""pending""}","{""status"": ""declined""}",2026-07-19 02:19:13.293298
181,132,,approved,service_tickets,39,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-25 06:11:22.293298
182,201,,deleted,job_orders,406,"{""id"": 406, ""is_active"": true}",,2026-08-02 09:49:01.293298
183,,83,approved,service_tickets,21,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-23 22:15:04.293298
184,,56,rejected,service_tickets,362,"{""status"": ""pending""}","{""status"": ""declined""}",2026-07-31 04:34:46.293298
185,,482,deleted,payments,458,"{""id"": 458, ""is_active"": true}",,2026-07-15 19:48:57.293298
186,,268,status_changed,job_orders,469,"{""status"": ""inspecting""}","{""status"": ""in_progress""}",2026-07-08 02:40:31.293298
187,,40,approved,service_tickets,311,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-27 06:28:15.293298
188,,102,claimed,retention_offers,68,"{""is_claimed"": false}","{""is_claimed"": true, ""claimed_on_job_order_id"": 483}",2026-07-30 19:17:58.293298
189,,354,rejected,service_tickets,65,"{""status"": ""pending""}","{""status"": ""declined""}",2026-07-31 17:48:50.293298
190,,268,claimed,retention_offers,236,"{""is_claimed"": false}","{""is_claimed"": true, ""claimed_on_job_order_id"": 305}",2026-07-09 11:29:15.293298
191,,391,claimed,retention_offers,255,"{""is_claimed"": false}","{""is_claimed"": true, ""claimed_on_job_order_id"": 96}",2026-07-15 12:46:00.293298
192,420,,status_changed,job_orders,360,"{""status"": ""inspecting""}","{""status"": ""in_progress""}",2026-07-30 10:57:45.293298
193,353,,deleted,payments,285,"{""id"": 285, ""is_active"": true}",,2026-07-13 15:31:32.293298
194,,399,approved,service_tickets,305,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-31 20:24:19.293298
195,,268,claimed,retention_offers,216,"{""is_claimed"": false}","{""is_claimed"": true, ""claimed_on_job_order_id"": 176}",2026-07-14 05:19:56.293298
196,,87,created,vehicles,435,,"{""id"": 435, ""is_active"": true}",2026-07-28 10:55:38.293298
197,,75,claimed,retention_offers,415,"{""is_claimed"": false}","{""is_claimed"": true, ""claimed_on_job_order_id"": 41}",2026-07-11 08:15:50.293298
198,,58,rejected,service_tickets,458,"{""status"": ""pending""}","{""status"": ""declined""}",2026-07-07 15:27:21.293298
199,,141,claimed,retention_offers,359,"{""is_claimed"": false}","{""is_claimed"": true, ""claimed_on_job_order_id"": 494}",2026-07-21 09:41:19.293298
200,,151,approved,service_tickets,439,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-12 04:33:00.293298
201,,146,claimed,retention_offers,325,"{""is_claimed"": false}","{""is_claimed"": true, ""claimed_on_job_order_id"": 331}",2026-08-04 18:53:59.293298
202,,8,logged_in,employees,8,,,2026-07-22 21:49:17.293298
203,,296,status_changed,job_orders,487,"{""status"": ""inspecting""}","{""status"": ""in_progress""}",2026-07-16 07:13:05.293298
204,,321,deleted,job_orders,34,"{""id"": 34, ""is_active"": true}",,2026-08-01 22:03:37.293298
205,,21,status_changed,job_orders,75,"{""status"": ""inspecting""}","{""status"": ""in_progress""}",2026-07-25 00:23:39.293298
206,,351,approved,service_tickets,13,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-08 05:42:22.293298
207,374,,created,vehicles,417,,"{""id"": 417, ""is_active"": true}",2026-07-20 03:16:15.293298
208,,304,approved,service_tickets,210,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-17 07:07:11.293298
209,,166,approved,service_tickets,354,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-15 07:37:39.293298
210,,84,updated,payments,13,"{""amount"": 663.77, ""record_id"": 13}","{""amount"": 1793.56, ""record_id"": 13}",2026-07-22 09:09:40.293298
211,,170,deleted,payments,165,"{""id"": 165, ""is_active"": true}",,2026-07-21 05:51:27.293298
212,,144,approved,service_tickets,415,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-21 19:08:06.293298
213,,499,rejected,service_tickets,348,"{""status"": ""pending""}","{""status"": ""declined""}",2026-07-28 11:43:08.293298
214,403,,logged_in,users,403,,,2026-07-23 06:39:27.293298
215,228,,rejected,service_tickets,112,"{""status"": ""pending""}","{""status"": ""declined""}",2026-07-12 11:15:57.293298
216,497,,logged_in,users,497,,,2026-07-27 08:41:20.293298
217,,432,claimed,retention_offers,235,"{""is_claimed"": false}","{""is_claimed"": true, ""claimed_on_job_order_id"": 385}",2026-07-11 04:48:47.293298
218,300,,rejected,service_tickets,459,"{""status"": ""pending""}","{""status"": ""declined""}",2026-08-02 19:47:27.293298
219,305,,deleted,users,186,"{""id"": 186, ""is_active"": true}",,2026-07-13 03:01:54.293298
220,393,,status_changed,job_orders,129,"{""status"": ""inspecting""}","{""status"": ""in_progress""}",2026-07-17 03:48:30.293298
221,219,,rejected,service_tickets,460,"{""status"": ""pending""}","{""status"": ""declined""}",2026-07-28 15:53:01.293298
222,213,,approved,service_tickets,484,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-25 22:19:29.293298
223,425,,approved,service_tickets,36,"{""status"": ""pending""}","{""status"": ""approved""}",2026-08-02 03:12:57.293298
224,,447,status_changed,job_orders,448,"{""status"": ""inspecting""}","{""status"": ""in_progress""}",2026-07-22 10:25:43.293298
225,,191,deleted,users,31,"{""id"": 31, ""is_active"": true}",,2026-07-15 04:36:40.293298
226,,63,created,job_orders,364,,"{""id"": 364, ""is_active"": true}",2026-07-21 10:46:35.293298
227,267,,rejected,service_tickets,301,"{""status"": ""pending""}","{""status"": ""declined""}",2026-07-08 02:27:09.293298
228,,59,status_changed,job_orders,395,"{""status"": ""inspecting""}","{""status"": ""in_progress""}",2026-07-15 05:11:53.293298
229,,429,updated,users,417,"{""amount"": 1403.00, ""record_id"": 417}","{""amount"": 2128.39, ""record_id"": 417}",2026-07-13 20:48:01.293298
230,,115,deleted,users,200,"{""id"": 200, ""is_active"": true}",,2026-07-19 22:09:20.293298
231,,303,updated,users,162,"{""amount"": 561.26, ""record_id"": 162}","{""amount"": 2451.01, ""record_id"": 162}",2026-07-17 00:11:56.293298
232,396,,logged_in,users,396,,,2026-07-13 14:17:04.293298
233,,474,deleted,payments,149,"{""id"": 149, ""is_active"": true}",,2026-07-23 01:38:40.293298
234,464,,logged_in,users,464,,,2026-07-08 14:59:27.293298
235,51,,rejected,service_tickets,70,"{""status"": ""pending""}","{""status"": ""declined""}",2026-07-29 01:32:10.293298
236,,325,updated,vehicles,232,"{""amount"": 1083.34, ""record_id"": 232}","{""amount"": 2768.74, ""record_id"": 232}",2026-08-03 06:46:26.293298
237,,95,logged_in,employees,95,,,2026-07-31 11:33:10.293298
238,,90,claimed,retention_offers,423,"{""is_claimed"": false}","{""is_claimed"": true, ""claimed_on_job_order_id"": 303}",2026-07-06 09:30:53.293298
239,,77,approved,service_tickets,196,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-29 17:34:17.293298
240,,395,rejected,service_tickets,437,"{""status"": ""pending""}","{""status"": ""declined""}",2026-07-15 04:49:31.293298
